teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
060115;2;Sosnówka;gw;51.7395305,23.3512135;7;Chełm;SLD;6;CZOBODZIŃSKA-PRZYBYSŁAWSKA;Anna Jadwiga;Kobieta;członek partii politycznej: SLD;51.738310 23.350671
061901;1;Włodawa;gm;51.541286,23.533696;7;Chełm;SLD;8;PAMULSKA;Łucja Jadwiga;Kobieta;członek partii politycznej: SLD;51.545292 23.537948
061304;3;Parczew;gmw;51.600647,22.9155965;7;Chełm;SLD;9;DOBOSZ-FURMAN;Patrycja Anna;Kobieta;BEZP;51.599865 22.913314
061302;2;Jabłoń;gw;51.707579,23.0566835;7;Chełm;SLD;10;KAMOLA;Magdalena Małgorzata;Kobieta;członek partii politycznej: SLD;51.703833 23.057591
061701;1;Świdnik (a);gm;51.2167125,22.6849365;7;Chełm;SLD;11;BARTOSZEWSKA-WIC;Ewa Monika;Kobieta;członek partii politycznej: SLD;51.208860 22.684479
060305;2;Dubienka;gw;51.036288,23.8493785;7;Chełm;SLD;12;MACERONI;Grażyna Zofia;Kobieta;BEZP;51.036638 23.850489
060119;2;Zalesie;gw;52.064411,23.399815;7;Chełm;SLD;13;TROJNIEL-GOŹDZIOŁKO;Aldona Wioleta;Kobieta;BEZP;52.062745 23.398553
066101;1;Biała Podlaska;mm;52.0290345,23.1383055;7;Chełm;SLD;16;JASEK-KOSOBUCKA;Justyna;Kobieta;BEZP;52.029069 23.143070
061504;2;Kąkolewnica;gw;51.8992065,22.6648435;7;Chełm;SLD;17;KAPŁON;Monika;Kobieta;LRazem;51.902566 22.669211
066301;1;Lublin;mm;51.218389,22.563923;7;Chełm;SLD;19;TABOR;Magdalena Aleksandra;Kobieta;LRazem;51.229156 22.553110
061508;2;Wohyń;gw;51.761783,22.799733;7;Chełm;SLD;22;KOZICKA;Katarzyna Małgorzata;Kobieta;BEZP;51.763762 22.800926
086201;1;Zielona Góra (a);mm;51.9277125,15.5215805;8;Zielona Góra;SLD;1;KUCHARSKA-DZIEDZIC;Anita Agnieszka;Kobieta;Wiosna;51.921412 15.509461
086201;1;Zielona Góra (a);mm;51.9277125,15.5215805;8;Zielona Góra;SLD;3;RUSZKOWSKA;Adrianna;Kobieta;LRazem;51.924754 15.533272
081109;2;Tuplice;gw;51.6943215,14.8920175;8;Zielona Góra;SLD;5;GARGUL;Anna;Kobieta;LRazem;51.695928 14.891759
080101;1;Kostrzyn nad Odrą;gm;52.6162795,14.6401525;8;Zielona Góra;SLD;7;OCH;Ewa Maria;Kobieta;SLD;52.614291 14.642177
080302;3;Międzyrzecz;gmw;52.4394855,15.5822225;8;Zielona Góra;SLD;9;BUZAREWICZ-KOWAL;Irena;Kobieta;BEZP;52.443706 15.583634
080602;3;Drezdenko;gmw;52.82876,15.7788645;8;Zielona Góra;SLD;11;RAKSA;Iwona Marzena;Kobieta;BEZP;52.827380 15.781527
081203;3;Wschowa;gmw;51.816705,16.2896475;8;Zielona Góra;SLD;13;BĄK;Monika;Kobieta;BEZP;51.817987 16.283081
080101;1;Kostrzyn nad Odrą;gm;52.6162795,14.6401525;8;Zielona Góra;SLD;15;SZKUDLAREK;Julita Monika;Kobieta;BEZP;52.610655 14.639897
086101;1;Gorzów Wielkopolski;mm;52.730556,15.217156;8;Zielona Góra;SLD;17;ŻEGILEWICZ - ZAWADZKA;Katarzyna Magdalena;Kobieta;SLD;52.728486 15.225623
321101;2;Dobra (Szczecińska);gw;53.493948,14.392785;8;Zielona Góra;SLD;19;KOMAJDA;Natalia Roksana;Kobieta;LRazem;53.491501 14.397611
086101;1;Gorzów Wielkopolski;mm;52.730556,15.217156;8;Zielona Góra;SLD;21;GRANDE;Julieta;Kobieta;BEZP;52.730528 15.214826
086101;1;Gorzów Wielkopolski;mm;52.730556,15.217156;8;Zielona Góra;SLD;23;DRUBKOWSKA;Monika;Kobieta;BEZP;52.734075 15.219583
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;2;GILL-PIĄTEK;Hanna Beata;Kobieta;Wiosna;51.752508 19.463016
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;6;URBAŃCZYK;Martyna Natalia;Kobieta;LRazem;51.795701 19.484190
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;7;WIETESKA;Agnieszka Maria;Kobieta;SLD;51.774703 19.502027
100607;3;Koluszki;gmw;51.721741,19.8264845;9;Łódź;SLD;8;MARKOWSKA-KURC;Maria Wanda;Kobieta;BEZP;51.724423 19.826578
100602;2;Andrespol;gw;51.721483,19.6444125;9;Łódź;SLD;11;MELANIUK;Patrycja Karolina;Kobieta;BEZP;51.722401 19.641488
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;13;ŚWIDERSKA;Beata Katarzyna;Kobieta;BEZP;51.767981 19.457221
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;18;PAWLIK-NOWACKA;Wioleta Kamila;Kobieta;SLD;51.796196 19.468848
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;19;PĘDZIWIATR;Elżbieta Bogumiła;Kobieta;BEZP;51.744782 19.480362
106101;1;Łódź (a);mm;51.77348,19.4804095;10;Piotrków Trybunalski;SLD;1;SOWIŃSKA;Anita Katarzyna;Kobieta;Wiosna;51.779181 19.459505
101505;2;Lipce Reymontowskie;gw;51.9089105,19.9371565;10;Piotrków Trybunalski;SLD;3;PANAK;Marta;Kobieta;LRazem;51.909804 19.938710
101201;1;Radomsko;gm;51.071194,19.442784;10;Piotrków Trybunalski;SLD;5;PTAK;Małgorzata Alicja;Kobieta;BEZP;51.078418 19.441517
101601;1;Tomaszów Mazowiecki;gm;51.520598,20.0259495;10;Piotrków Trybunalski;SLD;6;WAŁACH;Małgorzata Dorota;Kobieta;SLD;51.526593 20.023306
106301;1;Skierniewice;mm;51.958073,20.169118;10;Piotrków Trybunalski;SLD;8;KLEMBA;Julia Anna;Kobieta;LRazem;51.951599 20.164746
101301;1;Rawa Mazowiecka;gm;51.758282,20.2550385;10;Piotrków Trybunalski;SLD;11;BIENIAS;Agnieszka;Kobieta;SLD;51.755073 20.254786
100302;3;Łask;gmw;51.617829,19.1406915;10;Piotrków Trybunalski;SLD;13;MANDAT;Joanna Ewa;Kobieta;BEZP;51.621560 19.144490
106201;1;Piotrków Trybunalski;mm;51.4129525,19.716625;10;Piotrków Trybunalski;SLD;15;SULKA;Monika Zofia;Kobieta;LRazem;51.410123 19.723258
106101;1;Łódź (a);mm;51.77348,19.4804095;10;Piotrków Trybunalski;SLD;16;ŻURAW;Elżbieta Małgorzata;Kobieta;Wiosna;51.767351 19.510763
100201;1;Kutno;gm;52.2222815,19.3711305;11;Sieradz;SLD;1;MATYSIAK;Paulina;Kobieta;LRazem;52.225592 19.365328
101807;3;Wieruszów;gmw;51.32343,18.163538;11;Sieradz;SLD;4;KAŹMIERSKA-MAŁYSKA;Iwona Monika;Kobieta;BEZP;51.326356 18.161605
101401;1;Sieradz;gm;51.6017525,18.738381;11;Sieradz;SLD;6;SIKORA;Anna Iwona;Kobieta;LRazem;51.601376 18.736711
101409;3;Warta;gmw;51.7341025,18.667404;11;Sieradz;SLD;8;LEWICKA;Zdzisława Teresa;Kobieta;LRazem;51.735666 18.664802
101709;3;Wieluń;gmw;51.2224445,18.577102;11;Sieradz;SLD;11;BŁASZCZYK;Anna Maria;Kobieta;BEZP;51.226282 18.578666
101901;1;Zduńska Wola;gm;51.5952275,18.9647825;11;Sieradz;SLD;13;KOŚCIAN;Monika;Kobieta;BEZP;51.599545 18.962178
102003;1;Zgierz;gm;51.8555975,19.3940375;11;Sieradz;SLD;15;BUNDZYLAK-DĄBROWSKA;Agnieszka Czesława;Kobieta;BEZP;51.859289 19.393955
100201;1;Kutno;gm;52.2222815,19.3711305;11;Sieradz;SLD;16;WOLSKA;Anna Maria;Kobieta;BEZP;52.221645 19.364973
100901;3;Działoszyn;gmw;51.1144055,18.851063;11;Sieradz;SLD;19;JĘDRYSIAK-URBAŃSKA;Olga;Kobieta;SLD;51.111151 18.847207
101901;1;Zduńska Wola;gm;51.5952275,18.9647825;11;Sieradz;SLD;22;BORKIEWICZ;Kinga;Kobieta;BEZP;51.595981 18.957433
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;2;WÓJTOWICZ;Katarzyna Małgorzata;Kobieta;BEZP;50.031870 19.996718
120303;3;Chrzanów;gmw;50.1393335,19.384946;12;Kraków;SLD;4;BROŻEK;Dominika Maria;Kobieta;BEZP;50.137348 19.380048
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;8;STASIK;Iwona Ewa;Kobieta;członek partii politycznej: Razem;50.014568 20.008048
120301;3;Alwernia;gmw;50.065244,19.545383;12;Kraków;SLD;9;FILIPEK;Magdalena;Kobieta;członek partii politycznej: Twój Ruch;50.068886 19.544966
120303;3;Chrzanów;gmw;50.1393335,19.384946;12;Kraków;SLD;10;KUC;Maria Teresa;Kobieta;BEZP;50.145282 19.382874
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;12;LEGOŃ;Natalia Joanna;Kobieta;LRazem;50.035084 19.996575
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;14;TYMAN;Agnieszka;Kobieta;LRazem;50.052731 20.013507
121301;1;Oświęcim;gm;50.0337155,19.2561195;12;Kraków;SLD;15;KAJDAS;Dorota Ewa;Kobieta;BEZP;50.031930 19.259667
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;2;GOSEK-POPIOŁEK;Daria Iwona;Kobieta;LRazem;50.022796 20.007682
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;3;LIPIŃSKA-PIEKARSKA;Joanna Olszyna;Kobieta;SLD;50.060283 19.995388
241701;1;Żywiec;gm;49.7064975,19.2099055;13;Kraków;SLD;5;DROPEK;Magdalena;Kobieta;BEZP;49.706910 19.216474
121201;1;Bukowno;gm;50.260984,19.4171545;13;Kraków;SLD;6;KUBAŃSKA;Magdalena Bronisława;Kobieta;SLD;50.261200 19.415896
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;7;BIELAWSKA;Barbara Ewa;Kobieta;LRazem;50.055441 19.981784
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;9;SZYMAŃSKA;Monika Anna;Kobieta;LRazem;50.019654 20.021246
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;11;HAŃDEREK;Joanna Ewa;Kobieta;BEZP;50.024705 19.980944
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;13;BERYT;Alicja Joanna;Kobieta;LRazem;50.049826 19.972668
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;14;FRENKIEL;Monika Iwona;Kobieta;BEZP;50.054758 20.035550
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;15;KAWĘCKA;Dorota Zuzanna;Kobieta;LRazem;50.077580 19.997805
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;17;WOLAŃSKA;Katarzyna Anna;Kobieta;BEZP;50.030184 19.988507
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;18;IVCHENKO;Olesia;Kobieta;LRazem;50.021005 19.987201
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;20;GULIŃSKA;Anna Małgorzata;Kobieta;BEZP;50.065005 19.992000
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;26;TEKIEL;Paulina Agnieszka;Kobieta;BEZP;50.059952 20.008868
121205;3;Olkusz;gmw;50.2678225,19.5891615;13;Kraków;SLD;27;GAŁKA;Kinga;Kobieta;BEZP;50.265779 19.591939
126201;1;Nowy Sącz;mm;49.610243,20.70664;14;Nowy Sącz;SLD;2;ŻYTKOWICZ;Barbara Aleksandra;Kobieta;BEZP;49.616842 20.695271
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;14;Nowy Sącz;SLD;3;JAKOWICKA;Zuzanna Katarzyna;Kobieta;LRazem;54.370777 18.680334
121701;1;Zakopane;gm;49.275758,19.9718125;14;Nowy Sącz;SLD;5;CZERSKA;Beata Katarzyna;Kobieta;BEZP;49.268498 19.972340
121013;3;Piwniczna-Zdrój;gmw;49.4323885,20.739404;14;Nowy Sącz;SLD;6;DRZEWIŃSKA;Marzena Beata;Kobieta;BEZP;49.429517 20.739865
126201;1;Nowy Sącz;mm;49.610243,20.70664;14;Nowy Sącz;SLD;8;CEMPA-PULIT;Grażyna;Kobieta;BEZP;49.614268 20.718292
126201;1;Nowy Sącz;mm;49.610243,20.70664;14;Nowy Sącz;SLD;9;REICHERT;Jolanta Maria;Kobieta;BEZP;49.612453 20.713619
121114;2;Szaflary;gw;49.417565,19.993215;14;Nowy Sącz;SLD;11;ALCHOWŚKA;Maria Jolanta;Kobieta;LRazem;49.420421 19.992859
121002;2;Chełmiec;gw;49.645943,20.691713;14;Nowy Sącz;SLD;12;SMOLEŃ;Iwona Anna;Kobieta;BEZP;49.650295 20.688874
126201;1;Nowy Sącz;mm;49.610243,20.70664;14;Nowy Sącz;SLD;15;ŻYLIŃSKA;Jolanta Aleksandra;Kobieta;BEZP;49.600818 20.709205
126201;1;Nowy Sącz;mm;49.610243,20.70664;14;Nowy Sącz;SLD;17;PIOTROWSKA;Danuta;Kobieta;BEZP;49.614831 20.696576
121102;3;Szczawnica;gmw;49.424698,20.5292165;14;Nowy Sącz;SLD;18;MAJERCZAK-KIESZKOWSKA;Magdalena;Kobieta;BEZP;49.424743 20.529937
146510;1;Mst Warszawa (a);mm;52.233002,21.0614195;14;Nowy Sącz;SLD;19;SZLAGOWSKA-BUDACZ;Dorota Ewa;Kobieta;LRazem;52.255265 21.094792
120101;1;Bochnia;gm;49.974788,20.429205;15;Tarnów;SLD;3;SKOWROŃSKA;Ewa;Kobieta;LRazem;49.973446 20.422383
121605;3;Radłów;gmw;50.106106,20.8167135;15;Tarnów;SLD;4;KOCOŃ;Dorota;Kobieta;BEZP;50.110136 20.818207
121609;2;Tarnów;gw;50.002445,21.021696;15;Tarnów;SLD;6;SIENICKA;Agnieszka Anna;Kobieta;BEZP;49.997956 21.022851
121905;3;Wieliczka;gmw;49.9758055,20.059843;15;Tarnów;SLD;8;WILCZYŃSKA;Maria Bernadeta;Kobieta;BEZP;49.980832 20.063933
126301;1;Tarnów;mm;50.0259955,20.977995;15;Tarnów;SLD;11;JEWUŁA;Romana Anna;Kobieta;BEZP;50.034369 20.986338
121905;3;Wieliczka;gmw;49.9758055,20.059843;15;Tarnów;SLD;12;NIZIOŁEK;Renata Lucyna;Kobieta;BEZP;49.982724 20.066436
