teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
040707;3;Pakość;gmw;52.8121105,18.1015965;4;Bydgoszcz;SLD;3;WYSOCKI;Michał;Mężczyzna;LRazem;52.812847 18.102742
301504;3;Nowy Tomyśl;gmw;52.3118025,16.154488;4;Bydgoszcz;SLD;4;NOWAK;Izabela Anna;Kobieta;BEZP;52.315633 16.159185
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;SLD;5;LUDWISIAK-KAWECKA;Anna Magdalena;Kobieta;BEZP;52.783860 18.258783
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;6;JELENIEWSKI;Marek Krzysztof;Mężczyzna;SLD;53.130124 18.049576
041003;3;Nakło nad Notecią;gmw;53.141937,17.648624;4;Bydgoszcz;SLD;7;KOŃCZAK;Danuta Elżbieta;Kobieta;BEZP;53.137693 17.646385
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;8;SKAŁECKI;Damian Adam;Mężczyzna;BEZP;53.137362 18.040163
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;9;KOZŁOWSKA;Karolina;Kobieta;LRazem;53.112538 18.040851
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;10;KNIOŁA;Magdalena;Kobieta;BEZP;53.130584 18.040306
040706;3;Kruszwica;gmw;52.6364415,18.369577;4;Bydgoszcz;SLD;11;BUDZIŃSKA;Elżbieta Maria;Kobieta;BEZP;52.634630 18.367127
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;12;GINTER;Sławomir Ryszard;Mężczyzna;BEZP;53.145688 18.031672
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;13;SMOLAGA;Aleksandra Justyna;Kobieta;LRazem;53.109088 18.037080
041411;2;Warlubie;gw;53.6135095,18.5571995;4;Bydgoszcz;SLD;14;MENARD;Wiesław Tadeusz;Mężczyzna;SLD;53.611965 18.554642
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;SLD;15;OSUCH;Katarzyna Anna;Kobieta;BEZP;52.784886 18.257754
040306;2;Osielsko;gw;53.216458,18.055312;4;Bydgoszcz;SLD;16;WARSICKA;Teresa;Kobieta;LRazem;53.214434 18.054831
300203;2;Drawsko;gw;52.800509,16.018826;4;Bydgoszcz;SLD;17;FRĘŚ;Mateusz;Mężczyzna;BEZP;52.800699 16.018769
040306;2;Osielsko;gw;53.216458,18.055312;4;Bydgoszcz;SLD;18;PIASKOWSKA;Joanna Zuzanna;Kobieta;członek partii politycznej: Twój Ruch;53.217142 18.057688
041601;2;Cekcyn;gw;53.568385,18.051032;4;Bydgoszcz;SLD;19;JAROSZ;Piotr;Mężczyzna;SLD;53.568535 18.050922
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;20;GRUPA;Artur;Mężczyzna;BEZP;53.121793 18.045168
041301;3;Kamień Krajeński;gmw;53.5474285,17.529046;4;Bydgoszcz;SLD;21;SKAJA;Sebastian;Mężczyzna;SLD;53.548934 17.527425
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;22;PISAREK;Michał Mateusz;Mężczyzna;BEZP;53.136519 18.034847
040902;2;Jeziora Wielkie;gw;52.5371685,18.226247;4;Bydgoszcz;SLD;23;KRZESIŃSKI;Tomasz;Mężczyzna;SLD;52.535942 18.223999
141804;3;Piaseczno;gmw;52.049303,20.999221;5;Toruń;SLD;1;KWIATKOWSKI;Robert Artur;Mężczyzna;BEZP;52.049357 21.000573
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;2;SCHEURING-WIELGUS;Joanna Izabela;Kobieta;BEZP;53.000484 18.608889
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;3;ROZPŁOCH;Marek Władysław;Mężczyzna;LRazem;53.017488 18.611831
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;SLD;4;KOWAL;Piotr;Mężczyzna;SLD;52.671272 19.058796
041509;2;Zławieś Wielka;gw;53.099382,18.334662;5;Toruń;SLD;5;JANISZEWSKA;Kazimiera Janina;Kobieta;BEZP;53.099679 18.338365
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;SLD;6;RUMIŃSKA;Maria Magdalena;Kobieta;LRazem;52.655487 19.056487
040403;2;Kijewo Królewskie;gw;53.2637295,18.440212;5;Toruń;SLD;7;AUGUSTINOWICZ;Czesława Janina;Kobieta;SLD;53.262514 18.442529
041806;3;Chodecz;gmw;52.3938385,19.0247415;5;Toruń;SLD;8;MAŁECKI;Krzysztof Michał;Mężczyzna;LRazem;52.391119 19.023373
040809;2;Wielgie;gw;52.7509085,19.256779;5;Toruń;SLD;9;KUCZMARSKA;Zofia;Kobieta;BEZP;52.748926 19.256224
040804;3;Dobrzyń nad Wisłą;gmw;52.6774435,19.3102235;5;Toruń;SLD;10;OLEWIŃSKI;Sebastian Maciej;Mężczyzna;SLD;52.674950 19.308590
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;11;MAĆKIEWICZ;Jolanta Ewa;Kobieta;LRazem;53.017206 18.605097
040102;1;Ciechocinek;gm;52.884346,18.7949615;5;Toruń;SLD;12;KRZYŻANOWSKI;Andrzej Jerzy;Mężczyzna;SLD;52.879129 18.793491
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;13;KRAJEWSKI;Andrzej;Mężczyzna;BEZP;53.028869 18.592951
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;SLD;14;MATRASZEK;Tomasz Piotr;Mężczyzna;LRazem;52.663858 19.065717
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;15;CZERNIC;Katarzyna;Kobieta;LRazem;53.016999 18.613855
