teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;BZPS;1;PENKALSKI;Wojciech Adam;Mężczyzna;BEZP;54.376420 19.815042
281403;3;Dobre Miasto;gmw;53.9972015,20.428826;34;Elbląg;BZPS;2;FALKOWSKA;Agnieszka;Kobieta;BEZP;53.992976 20.425388
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;BZPS;3;JASINA;Stanisław Czesław;Mężczyzna;BEZP;54.209573 19.434549
280702;1;Lubawa;gm;53.5005075,19.7549105;34;Elbląg;BZPS;4;KUCIŃSKA;Agnieszka Anna;Kobieta;BEZP;53.500354 19.749607
280706;3;Susz;gmw;53.72225,19.370886;34;Elbląg;BZPS;5;KĘPIŃSKI;Krzysztof;Mężczyzna;BEZP;53.722632 19.374663
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;1;FALEJ;Monika Walentyna;Kobieta;Wiosna;53.781247 20.460192
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;2;ZIELONKA;Andrzej Jan;Mężczyzna;SLD;54.207709 19.437387
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;3;BARTKOWSKA;Emilia;Kobieta;LRazem;53.777789 20.470763
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;4;KLIM;Ryszard;Mężczyzna;BEZP;54.194624 19.445877
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;SLD;5;ZDANOWSKI;Daniel Adrian;Mężczyzna;BEZP;53.472835 19.340624
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;1;KRASULSKI;Leonard Seweryn;Mężczyzna;PiS;54.208150 19.427874
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;2;WILK;Jerzy Zbigniew;Mężczyzna;PiS;54.204012 19.425573
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;PiS;3;BABALSKI;Zbigniew;Mężczyzna;PiS;53.705653 19.951769
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;PiS;4;KAZIMIERCZUK;Marcin;Mężczyzna;PiS;54.256042 20.808616
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;PiS;5;MODZELEWSKA-KOZIOŁ;Monika Anna;Kobieta;PiS;54.382557 19.819117
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;PSL;1;ZIEJEWSKI;Zbigniew;Mężczyzna;PSL;53.472361 19.342385
280703;2;Iława;gw;53.637493,19.580732;34;Elbląg;PSL;2;ŻUCHOWSKI;Piotr;Mężczyzna;PSL;53.636251 19.583842
280302;2;Działdowo;gw;53.2888035,20.151917;34;Elbląg;PSL;3;FREJNIK;Dariusz;Mężczyzna;BEZP;53.288349 20.149772
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PSL;4;PIETRULEWICZ;Edward Mieczysław;Mężczyzna;BEZP;54.200624 19.446716
280202;2;Braniewo (c);gw;54.3726675,19.881581;34;Elbląg;PSL;5;SZAKIEWICZ;Paweł;Mężczyzna;PSL;54.373385 19.877245
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;KOBW;1;PROTAS;Jacek;Mężczyzna;PORP;54.128510 20.570542
280701;1;Iława;gm;53.5960005,19.559474;34;Elbląg;KOBW;2;HORDEJUK;Bernadeta Justyna;Kobieta;PORP;53.594312 19.557631
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;3;GELERT;Elżbieta Kazimiera;Kobieta;PORP;54.192574 19.426376
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;KOBW;4;CIEŚLIŃSKI;Piotr;Mężczyzna;PORP;54.134793 20.564161
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;KOBW;5;DEMBEK;Ewa Barbara;Kobieta;PORP;53.473441 19.342453
281403;3;Dobre Miasto;gmw;53.9972015,20.428826;34;Elbląg;KONFEDERACJA;1;WYRĘBEK;Andrzej Piotr;Mężczyzna;Korwin;53.999089 20.427203
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;2;SZYNKIELEWSKA;Kaja Ewelina;Kobieta;BEZP;54.209776 19.433406
280705;2;Lubawa;gw;53.525275,19.775952;34;Elbląg;KONFEDERACJA;3;ŁOŻYŃSKI;Krystian Maciej;Mężczyzna;RuchNarodowy;53.528485 19.776823
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;4;KACZKOWSKI;Tomasz Jacek;Mężczyzna;Korwin;54.204492 19.436962
281401;3;Barczewo;gmw;53.844892,20.7121685;34;Elbląg;KONFEDERACJA;5;HUL;Marek;Mężczyzna;BEZP;53.845853 20.712764
281405;2;Gietrzwałd;gw;53.7242745,20.2621095;35;Olsztyn;KONFEDERACJA;1;LISIECKI;Piotr Cezary;Mężczyzna;RuchNarodowy;53.726922 20.262104
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KONFEDERACJA;2;PITURA;Tomasz;Mężczyzna;członek partii politycznej: Zjednoczenie Chrześcijańskich Rodzin;53.786177 20.466927
280601;1;Giżycko;gm;54.035964,21.769379;35;Olsztyn;KONFEDERACJA;3;MICHALEWICZ;Joanna;Kobieta;BEZP;54.035278 21.770640
281409;3;Olsztynek;gmw;53.5739185,20.358239;35;Olsztyn;KONFEDERACJA;4;TYTZ;Jerzy Stanisław;Mężczyzna;BEZP;53.578522 20.360705
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KONFEDERACJA;5;BORYSOWSKI;Paweł Arkadiusz;Mężczyzna;BEZP;53.785033 20.476720
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;1;MAKSYMOWICZ;Wojciech Stefan;Mężczyzna;BEZP;53.780165 20.472173
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;2;ARENT;Iwona Ewa;Kobieta;PiS;53.775273 20.478312
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;3;CHOJECKI;Artur Henryk;Mężczyzna;PiS;53.780808 20.458147
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;PiS;4;KOSSAKOWSKI;Wojciech;Mężczyzna;PiS;53.827976 22.360017
281603;3;Pisz;gmw;53.63459,21.713319;35;Olsztyn;PiS;5;MAŁECKI;Jerzy Wojciech;Mężczyzna;PiS;53.629893 21.710960
281404;2;Dywity;gw;53.8756485,20.4766725;35;Olsztyn;KOBW;1;CICHOŃ;Janusz Władysław;Mężczyzna;PORP;53.880863 20.475569
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KOBW;2;WASILEWSKA;Anna;Kobieta;PORP;53.776311 20.468355
281407;2;Jonkowo;gw;53.825086,20.2664665;35;Olsztyn;KOBW;3;PAMPUCH;Mirosław Józef;Mężczyzna;Nowoczesna;53.825745 20.264919
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KOBW;4;PAPKE;Paweł;Mężczyzna;PORP;53.777639 20.467937
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;KOBW;5;WOJCIECHOWSKA;Anna;Kobieta;BEZP;53.826050 22.354484
281402;3;Biskupiec;gmw;53.8597005,20.9677405;35;Olsztyn;PSL;1;PASŁAWSKA;Urszula Stefania;Kobieta;PSL;53.861465 20.970132
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PSL;2;FALKOWSKI;Henryk Tadeusz;Mężczyzna;BEZP;53.780089 20.455779
280801;1;Kętrzyn;gm;54.082319,21.375072;35;Olsztyn;PSL;3;HEĆMAN;Krzysztof Wiesław;Mężczyzna;PSL;54.083260 21.374626
280610;2;Wydminy;gw;53.969047,22.04161;35;Olsztyn;PSL;4;KRÓL;Radosław;Mężczyzna;PSL;53.968489 22.041953
281702;2;Dźwierzuty;gw;53.706471,21.0053615;35;Olsztyn;PSL;5;JASKULSKA;Sylwia Monika;Kobieta;PSL;53.708306 21.006405
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;SLD;1;KULASEK;Marcin Robert;Mężczyzna;SLD;53.781111 20.478320
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;SLD;2;MATUSZEWSKA-BORUC;Małgorzata Emilia;Kobieta;LRazem;53.766269 20.468164
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;SLD;3;GÓRSKI;Hubert;Mężczyzna;BEZP;53.820399 22.363934
281410;2;Purda;gw;53.664733,20.6741285;35;Olsztyn;SLD;4;MICHNIK;Łukasz;Mężczyzna;BEZP;53.663708 20.676828
281704;3;Pasym;gmw;53.645781,20.8050015;35;Olsztyn;SLD;5;KOBYLIŃSKA;Lucyna;Kobieta;BEZP;53.648310 20.805435
306301;1;Leszno;mm;51.8440775,16.575932;36;Kalisz;SLD;1;SZCZEPAŃSKI;Wiesław Andrzej;Mężczyzna;SLD;51.841948 16.579739
301305;2;Święciechowa;gw;51.8374855,16.4896785;36;Kalisz;SLD;2;MAZUR;Marek Miłosz;Mężczyzna;Wiosna;51.837798 16.490804
306101;1;Kalisz;mm;51.747363,18.0760685;36;Kalisz;SLD;3;PAWLICZAK;Karolina Monika;Kobieta;SLD;51.743692 18.081803
306101;1;Kalisz;mm;51.747363,18.0760685;36;Kalisz;SLD;4;BŁAŻEJCZAK-KLECZEWSKA;Beata;Kobieta;LRazem;51.744168 18.068264
301703;3;Odolanów;gmw;51.5716975,17.6678795;36;Kalisz;SLD;5;WAJS;Józef Włodzimierz;Mężczyzna;SLD;51.576514 17.665391
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;36;Kalisz;PiS;1;DZIEDZICZAK;Jan Michał;Mężczyzna;PiS;52.199343 21.081793
301702;3;Nowe Skalmierzyce;gmw;51.718661,18.0022465;36;Kalisz;PiS;2;ŁAWNICZAK;Tomasz;Mężczyzna;PiS;51.722759 18.003539
306101;1;Kalisz;mm;51.747363,18.0760685;36;Kalisz;PiS;3;MOSIŃSKI;Jan;Mężczyzna;PiS;51.749454 18.063746
301701;1;Ostrów Wielkopolski;gm;51.6469035,17.8039815;36;Kalisz;PiS;4;MALĄG;Marlena Magdalena;Kobieta;PiS;51.647795 17.800408
300704;2;Godziesze Wielkie;gw;51.653183,18.1655835;36;Kalisz;PiS;5;KALETA;Piotr Marek;Mężczyzna;PiS;51.657212 18.163158
301807;3;Ostrzeszów;gmw;51.42416,17.882911;36;Kalisz;PSL;1;GRZYB;Andrzej Marian;Mężczyzna;PSL;51.421798 17.885500
301704;2;Ostrów Wielkopolski;gw;51.6938845,17.7404115;36;Kalisz;PSL;2;WALKOWSKI;Piotr;Mężczyzna;PSL;51.691203 17.739743
301104;3;Krzywiń;gmw;51.9933565,16.861421;36;Kalisz;PSL;3;KOBUS;Bartosz Marek;Mężczyzna;BEZP;51.991120 16.865171
302005;2;Gołuchów;gw;51.8340545,17.934937;36;Kalisz;PSL;4;GÓRALCZYK;Agnieszka Magdalena;Kobieta;PSL;51.835258 17.934521
301204;3;Krotoszyn;gmw;51.7152015,17.5165;36;Kalisz;PSL;5;MARSZAŁEK;Franciszek;Mężczyzna;PSL;51.709766 17.519665
306101;1;Kalisz;mm;51.747363,18.0760685;36;Kalisz;KOBW;1;WITCZAK;Mariusz Sebastian;Mężczyzna;PORP;51.746717 18.076431
301701;1;Ostrów Wielkopolski;gm;51.6469035,17.8039815;36;Kalisz;KOBW;2;URBANIAK;Jarosław Piotr;Mężczyzna;PORP;51.650000 17.805626
300807;2;Trzcinica;gw;51.174332,18.004718;36;Kalisz;KOBW;3;HENCZYCA;Bożena Katarzyna;Kobieta;PORP;51.173791 18.003553
306301;1;Leszno;mm;51.8440775,16.575932;36;Kalisz;KOBW;4;RUSIECKI;Grzegorz Stanisław;Mężczyzna;PORP;51.847085 16.573813
301204;3;Krotoszyn;gmw;51.7152015,17.5165;36;Kalisz;KOBW;5;BUDNIK;Marzena Katarzyna;Kobieta;BEZP;51.718365 17.522710
306101;1;Kalisz;mm;51.747363,18.0760685;36;Kalisz;KONFEDERACJA;1;STOCH;Witold Adam;Mężczyzna;Korwin;51.742119 18.066759
301703;3;Odolanów;gmw;51.5716975,17.6678795;36;Kalisz;KONFEDERACJA;2;CZECH;Ireneusz Wojciech;Mężczyzna;RuchNarodowy;51.572646 17.668606
300402;3;Gostyń;gmw;51.899589,16.966928;36;Kalisz;KONFEDERACJA;3;IDKOWIAK;Dominik;Mężczyzna;RuchNarodowy;51.898726 16.963765
301701;1;Ostrów Wielkopolski;gm;51.6469035,17.8039815;36;Kalisz;KONFEDERACJA;4;WIECZOREK;Antoni Jerzy;Mężczyzna;RuchNarodowy;51.648118 17.798012
301307;2;Włoszakowice;gw;51.9243845,16.386764;36;Kalisz;KONFEDERACJA;5;KOIS;Piotr;Mężczyzna;członek partii politycznej: Wolni i Solidarni;51.926053 16.382957
300906;3;Kłodawa;gmw;52.2682565,18.8824825;37;Konin;KONFEDERACJA;1;BRYŁKA;Anna Mirosława;Kobieta;RuchNarodowy;52.269898 18.877761
302504;3;Środa Wielkopolska;gmw;52.240268,17.2922945;37;Konin;KONFEDERACJA;2;JÓŹWIAK;Maciej;Mężczyzna;RuchNarodowy;52.239897 17.293318
301004;3;Kleczew;gmw;52.406345,18.135028;37;Konin;KONFEDERACJA;3;KORZENIEWSKI;Eryk;Mężczyzna;Korwin;52.404120 18.131910
300901;1;Koło;gm;52.1983785,18.635745;37;Konin;KONFEDERACJA;4;RUSIN;Paweł Rafał;Mężczyzna;RuchNarodowy;52.203326 18.637852
300301;1;Gniezno;gm;52.524904,17.6033275;37;Konin;KONFEDERACJA;5;GRONEK;Przemysław Tomasz;Mężczyzna;Korwin;52.529662 17.601631
306401;1;Poznań (a);mm;52.4006265,16.90154;37;Konin;PiS;1;HOFFMANN;Zbigniew Grzegorz;Mężczyzna;PiS;52.394856 16.924201
086201;1;Zielona Góra (a);mm;51.9277125,15.5215805;37;Konin;PiS;2;CZARNECKI;Witold Wojciech;Mężczyzna;PiS;51.923470 15.522137
300301;1;Gniezno;gm;52.524904,17.6033275;37;Konin;PiS;3;DOLATA;Zbigniew;Mężczyzna;PiS;52.525919 17.599471
302704;2;Kawęczyn;gw;51.897629,18.5039135;37;Konin;PiS;4;BARTOSIK;Ryszard;Mężczyzna;PiS;51.899550 18.507431
300907;2;Koło;gw;52.2255215,18.6215155;37;Konin;PiS;5;GALEMBA;Leszek Ryszard;Mężczyzna;PiS;52.228492 18.622592
302301;1;Słupca;gm;52.2907775,17.8686465;37;Konin;SLD;1;NOWAK;Paulina;Kobieta;LRazem;52.285188 17.869690
300308;2;Niechanowo;gw;52.4494295,17.669932;37;Konin;SLD;2;TOMASZEWSKI;Tadeusz;Mężczyzna;SLD;52.448695 17.673946
303002;3;Miłosław;gmw;52.190016,17.521868;37;Konin;SLD;3;WNUK;Andrzej Jacek;Mężczyzna;Wiosna;52.190454 17.520432
301011;2;Stare Miasto;gw;52.1579565,18.2245615;37;Konin;SLD;4;NAWROCKI;Ryszard Piotr;Mężczyzna;SLD;52.156102 18.226355
300902;2;Babiak;gw;52.3487685,18.711045;37;Konin;SLD;5;GALĘBA;Robert;Mężczyzna;BEZP;52.349756 18.712474
306201;1;Konin;mm;52.2562205,18.262651;37;Konin;KOBW;1;NOWAK;Tomasz Piotr;Mężczyzna;PORP;52.257246 18.265322
306201;1;Konin;mm;52.2562205,18.262651;37;Konin;KOBW;2;STĘPIEŃ;Miłosława Dorota;Kobieta;Zieloni;52.254718 18.259283
