teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia
221501;1;Reda;gm;54.6210065,18.334663;26;Słupsk;KONFEDERACJA;16;KOZŁOWSKI;Krzysztof Wiktor;Mężczyzna;BEZP
220502;3;Kartuzy;gmw;54.344675,18.1171165;26;Słupsk;KONFEDERACJA;17;JARZĘBIŃSKI;Damian Piotr;Mężczyzna;Korwin
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;18;KUBIAK;Edyta;Kobieta;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;19;SZYNAKA;Paulina Anna;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;20;WARCIKOWSKA;Katarzyna Anna;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;21;POKRYFKA;Paweł Przemysław;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;22;SZCZEPANIAK;Agnieszka Wiktoria;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;23;PAPROCKA;Małgorzata;Kobieta;BEZP
221510;2;Wejherowo;gw;54.5948225,18.2382265;26;Słupsk;KONFEDERACJA;24;DUDA;Gabriela Teresa;Kobieta;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;25;TRELA;Zuzanna Dominika;Kobieta;BEZP
221309;3;Skarszewy;gmw;54.0679635,18.434439;26;Słupsk;KONFEDERACJA;26;SUGIER;Sylwia Katarzyna;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;26;Słupsk;KONFEDERACJA;27;ZBLEWSKA;Maria Joanna;Kobieta;BEZP
221210;2;Ustka;gw;54.5821725,16.9185195;26;Słupsk;KONFEDERACJA;28;LIPSKI;Przemysław Emil;Mężczyzna;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;1;SENYSZYN;Joanna;Kobieta;SLD
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;2;RUTKA;Marek Andrzej;Mężczyzna;Wiosna
221503;1;Wejherowo;gm;54.605985,18.233643;26;Słupsk;SLD;3;HASKA;Karolina;Kobieta;LRazem
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;SLD;4;ŁUKASZEWICZ;Anna Beata;Kobieta;BEZP
221507;2;Luzino;gw;54.561262,18.097215;26;Słupsk;SLD;5;LUBIEWSKI;Adam Marek;Mężczyzna;LRazem
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;26;Słupsk;SLD;6;SZUBIŃSKA;Bożena Leokadia;Kobieta;Wiosna
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;26;Słupsk;SLD;7;PONULAK;Jan Stanisław;Mężczyzna;BEZP
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;SLD;8;KUTWA;Marzena;Kobieta;LRazem
220102;3;Bytów;gmw;54.15809,17.48918;26;Słupsk;SLD;9;WIRKUS;Katarzyna Gabriela;Kobieta;BEZP
220801;1;Lębork;gm;54.5355845,17.7576885;26;Słupsk;SLD;10;LAMPART;Jacek Heliodor;Mężczyzna;SLD
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;11;GAJEWSKA;Beata Krystyna;Kobieta;LRazem
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;SLD;12;KWIATKOWSKI;Ryszard Zygmunt;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;13;ŻYNIS;Jakub Mikołaj;Mężczyzna;LRazem
220302;3;Czarne;gmw;53.638776,17.0391905;26;Słupsk;SLD;14;KOZIOŁ;Krzysztof Kazimierz;Mężczyzna;BEZP
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;26;Słupsk;SLD;15;JAROSZ;Maciej;Mężczyzna;BEZP
220601;1;Kościerzyna;gm;54.120781,17.984626;26;Słupsk;SLD;16;STENCEL;Beata Krystyna;Kobieta;SLD
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;17;KOWALEWSKI;Michał Stanisław;Mężczyzna;LRazem
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;18;MARCIAK;Rafał Marcin;Mężczyzna;Wiosna
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;19;ZAJĄCZKOWSKA;Anna;Kobieta;LRazem
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;26;Słupsk;SLD;20;CZUBALA;Grażyna Teresa;Kobieta;BEZP
221502;1;Rumia;gm;54.5692025,18.3849145;26;Słupsk;SLD;21;LAMENTOWICZ;Wojciech;Mężczyzna;BEZP
221210;2;Ustka;gw;54.5821725,16.9185195;26;Słupsk;SLD;22;SZCZOTKOWSKI;Andrzej;Mężczyzna;SLD
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;23;DRYWA;Magdalena Karolina;Kobieta;LRazem
221207;2;Potęgowo;gw;54.4606395,17.455263;26;Słupsk;SLD;24;WEKWERT;Paweł Władysław;Mężczyzna;Wiosna
221501;1;Reda;gm;54.6210065,18.334663;26;Słupsk;SLD;25;STRZELECKA;Magdalena Jadwiga;Kobieta;BEZP
220508;3;Żukowo;gmw;54.3709575,18.379591;26;Słupsk;SLD;26;SŁUPECKI;Jacek Ignacy;Mężczyzna;LRazem
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;27;NOWAK;Dominika Wirginia;Kobieta;Wiosna
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;SLD;28;STRZELCZYK;Marcin Tomasz;Mężczyzna;SLD
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;26;Słupsk;KOBW;1;NOWACKA;Barbara Anna;Kobieta;członek partii politycznej: Inicjatywa Polska
221106;2;Krokowa;gw;54.762822,18.104375;26;Słupsk;KOBW;2;PLOCKE;Kazimierz Florian;Mężczyzna;PORP
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;KOBW;3;KONWIŃSKI;Zbigniew Marek;Mężczyzna;PORP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;26;Słupsk;KOBW;4;KRZYWONOS-STRYCHARSKA;Henryka Krystyna;Kobieta;BEZP
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;KOBW;5;BONNA;Leszek Jacek;Mężczyzna;PORP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KOBW;6;AZIEWICZ;Tadeusz;Mężczyzna;PORP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;26;Słupsk;KOBW;7;FURGO;Grzegorz Witold;Mężczyzna;PORP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KOBW;8;SZUMEŁDA;Radomir;Mężczyzna;BEZP
220504;2;Sierakowice;gw;54.3508465,17.8608885;26;Słupsk;KOBW;9;KWIECIEŃ;Janina;Kobieta;BEZP
221210;2;Ustka;gw;54.5821725,16.9185195;26;Słupsk;KOBW;10;WAWROWSKA;Danuta Krystyna;Kobieta;Nowoczesna
221503;1;Wejherowo;gm;54.605985,18.233643;26;Słupsk;KOBW;11;SZLAS;Rafał Bogusław;Mężczyzna;BEZP
221105;2;Kosakowo;gw;54.597631,18.475616;26;Słupsk;KOBW;12;DZIERŻYŃSKI;Arkadiusz Wacław;Mężczyzna;członek partii politycznej: Inicjatywa Polska
220301;1;Człuchów;gm;53.664796,17.3679865;26;Słupsk;KOBW;13;ŁUCZYCKA;Krystyna;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KOBW;14;DOMOZYCH;Marika;Kobieta;BEZP
221102;3;Jastarnia;gmw;54.714741,18.628448;26;Słupsk;KOBW;15;STRUK;Andrzej Franciszek;Mężczyzna;PORP
221508;2;Łęczyce;gw;54.588058,17.9329775;26;Słupsk;KOBW;16;SZCZYGIEŁ;Karolina Justyna;Kobieta;PORP
220803;2;Cewice;gw;54.4371045,17.7423155;26;Słupsk;KOBW;17;MIELEWCZYK;Iwona Teresa;Kobieta;PORP
220107;2;Parchowo;gw;54.2110705,17.688636;26;Słupsk;KOBW;18;SZROEDER;Jaromir Jacek;Mężczyzna;PORP
221509;2;Szemud;gw;54.4716805,18.256431;26;Słupsk;KOBW;19;KALINOWSKA;Jolanta Maria;Kobieta;członek partii politycznej: Socjaldemokracja Polska
221105;2;Kosakowo;gw;54.597631,18.475616;26;Słupsk;KOBW;20;WOJTUNIK;Anna Monika;Kobieta;PORP
220202;3;Brusy;gmw;53.9061665,17.684846;26;Słupsk;KOBW;21;SINGER;Elżbieta;Kobieta;BEZP
220106;3;Miastko;gmw;54.0355635,17.0032295;26;Słupsk;KOBW;22;RYCKIEWICZ;Iwona Maria;Kobieta;BEZP
220301;1;Człuchów;gm;53.664796,17.3679865;26;Słupsk;KOBW;23;BONDARENKO;Adam;Mężczyzna;BEZP
220801;1;Lębork;gm;54.5355845,17.7576885;26;Słupsk;KOBW;24;NAMYŚLAK;Hubert Konrad;Mężczyzna;BEZP
220801;1;Lębork;gm;54.5355845,17.7576885;26;Słupsk;KOBW;25;SOPYŁŁO;Tomasz Szczepan;Mężczyzna;PORP
220803;2;Cewice;gw;54.4371045,17.7423155;26;Słupsk;KOBW;26;SKÓRZYBÓT;Igor;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KOBW;27;WITTBRODT;Piotr Witold;Mężczyzna;PORP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KOBW;28;DĄBKOWSKI;Marek Artur;Mężczyzna;PORP
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;BZPS;1;PENKALSKI;Wojciech Adam;Mężczyzna;BEZP
281403;3;Dobre Miasto;gmw;53.9972015,20.428826;34;Elbląg;BZPS;2;FALKOWSKA;Agnieszka;Kobieta;BEZP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;BZPS;3;JASINA;Stanisław Czesław;Mężczyzna;BEZP
280702;1;Lubawa;gm;53.5005075,19.7549105;34;Elbląg;BZPS;4;KUCIŃSKA;Agnieszka Anna;Kobieta;BEZP
280706;3;Susz;gmw;53.72225,19.370886;34;Elbląg;BZPS;5;KĘPIŃSKI;Krzysztof;Mężczyzna;BEZP
280701;1;Iława;gm;53.5960005,19.559474;34;Elbląg;BZPS;6;KOWALSKA;Anita;Kobieta;BEZP
281508;3;Morąg;gmw;53.912672,19.9548145;34;Elbląg;BZPS;7;ORŁOWSKI;Tomasz;Mężczyzna;BEZP
326201;1;Szczecin (ab);mm;53.429696,14.6242155;34;Elbląg;BZPS;8;LEWANDOWSKA;Monika Marcjanna;Kobieta;BEZP
221303;1;Starogard Gdański;gm;53.9654205,18.526571;34;Elbląg;BZPS;9;DREWA;Jarosław;Mężczyzna;BEZP
140702;2;Głowaczów;gw;51.656326,21.320478;34;Elbląg;BZPS;10;KWAŚNIEWSKA;Jolanta;Kobieta;BEZP
280105;2;Górowo Iławeckie;gw;54.2940515,20.4740495;34;Elbląg;BZPS;11;BANACH;Piotr Roman;Mężczyzna;BEZP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;BZPS;12;SMOLIŃSKA;Jolanta Maria;Kobieta;BEZP
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;BZPS;13;NAŁĘCZ;Ryszard;Mężczyzna;BEZP
280304;3;Lidzbark;gmw;53.2476565,19.840099;34;Elbląg;BZPS;14;ŁOŻYŃSKA;Anna;Kobieta;BEZP
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;34;Elbląg;BZPS;15;ZAORSKI;Mariusz Wojciech;Mężczyzna;BEZP
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;BZPS;16;SYCZ;Anna;Kobieta;BEZP
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;1;FALEJ;Monika Walentyna;Kobieta;Wiosna
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;2;ZIELONKA;Andrzej Jan;Mężczyzna;SLD
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;3;BARTKOWSKA;Emilia;Kobieta;LRazem
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;4;KLIM;Ryszard;Mężczyzna;BEZP
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;SLD;5;ZDANOWSKI;Daniel Adrian;Mężczyzna;BEZP
280905;3;Orneta;gmw;54.1272535,20.138193;34;Elbląg;SLD;6;PIEKART;Sylwia;Kobieta;SLD
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;SLD;7;PASJAK;Janusz;Mężczyzna;SLD
280304;3;Lidzbark;gmw;53.2476565,19.840099;34;Elbląg;SLD;8;GIEREJ;Jakub Przemysław;Mężczyzna;LRazem
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;9;KOLIŃSKI;Robert;Mężczyzna;LRazem
281505;2;Małdyty;gw;53.891467,19.716909;34;Elbląg;SLD;10;FALKOWSKA-HOJAN;Milena;Kobieta;BEZP
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;11;PACYNO;Piotr;Mężczyzna;BEZP
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;SLD;12;PĄGOWSKA;Urszula Klara;Kobieta;BEZP
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;SLD;13;PRZYBOROWSKI;Wincenty Marian;Mężczyzna;SLD
280405;2;Milejewo;gw;54.2019495,19.553995;34;Elbląg;SLD;14;SZULC;Mirosław Józef;Mężczyzna;BEZP
280104;3;Bisztynek;gmw;54.0958025,20.9457085;34;Elbląg;SLD;15;WÓJCIK;Paweł;Mężczyzna;BEZP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;1;KRASULSKI;Leonard Seweryn;Mężczyzna;PiS
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;2;WILK;Jerzy Zbigniew;Mężczyzna;PiS
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;PiS;3;BABALSKI;Zbigniew;Mężczyzna;PiS
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;PiS;4;KAZIMIERCZUK;Marcin;Mężczyzna;PiS
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;PiS;5;MODZELEWSKA-KOZIOŁ;Monika Anna;Kobieta;PiS
281201;1;Nowe Miasto Lubawskie;gm;53.425281,19.5838805;34;Elbląg;PiS;6;GODZIŃSKI;Damian Jan;Mężczyzna;PiS
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;7;KOWSZYŃSKI;Paweł Andrzej;Mężczyzna;PiS
280103;2;Bartoszyce (c);gw;54.2431525,20.800376;34;Elbląg;PiS;8;OŁDAKOWSKI;Adam;Mężczyzna;PiS
280703;2;Iława;gw;53.637493,19.580732;34;Elbląg;PiS;9;WĘGŁOWSKA;Anna;Kobieta;PiS
280706;3;Susz;gmw;53.72225,19.370886;34;Elbląg;PiS;10;GOIK;Karolina Ewa;Kobieta;BEZP
040201;1;Brodnica;gm;53.2579615,19.406477;34;Elbląg;PiS;11;PIĄTEK;Anna;Kobieta;BEZP
280306;2;Rybno;gw;53.367927,19.9491285;34;Elbląg;PiS;12;KAMIŃSKA;Grażyna;Kobieta;BEZP
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;PiS;13;ANDRUSZKIEWICZ;Jolanta Wiesława;Kobieta;PiS
280306;2;Rybno;gw;53.367927,19.9491285;34;Elbląg;PiS;14;GONTARZ;Robert;Mężczyzna;PiS
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;PiS;15;KIEROZALSKI;Grzegorz;Mężczyzna;PiS
280902;2;Kiwity;gw;54.111839,20.7214115;34;Elbląg;PiS;16;PAWLIK;Jacek Roman;Mężczyzna;PiS
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;PSL;1;ZIEJEWSKI;Zbigniew;Mężczyzna;PSL
280703;2;Iława;gw;53.637493,19.580732;34;Elbląg;PSL;2;ŻUCHOWSKI;Piotr;Mężczyzna;PSL
280302;2;Działdowo;gw;53.2888035,20.151917;34;Elbląg;PSL;3;FREJNIK;Dariusz;Mężczyzna;BEZP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PSL;4;PIETRULEWICZ;Edward Mieczysław;Mężczyzna;BEZP
280202;2;Braniewo (c);gw;54.3726675,19.881581;34;Elbląg;PSL;5;SZAKIEWICZ;Paweł;Mężczyzna;PSL
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PSL;6;SOWICKA;Małgorzata Dorota;Kobieta;BEZP
281508;3;Morąg;gmw;53.912672,19.9548145;34;Elbląg;PSL;7;MARCHALEWSKA;Monika Barbara;Kobieta;BEZP
280103;2;Bartoszyce (c);gw;54.2431525,20.800376;34;Elbląg;PSL;8;HUSZCZA;Robert Jan;Mężczyzna;PSL
280705;2;Lubawa;gw;53.525275,19.775952;34;Elbląg;PSL;9;GRANACKA;Katarzyna;Kobieta;PSL
280304;3;Lidzbark;gmw;53.2476565,19.840099;34;Elbląg;PSL;10;WIŚNIEWSKI;Andrzej Janusz;Mężczyzna;PSL
280205;3;Pieniężno;gmw;54.252748,20.1959875;34;Elbląg;PSL;11;SŁOMCZYŃSKA-KĄDZIOŁKA;Anetta Krystyna;Kobieta;BEZP
146510;1;Mst Warszawa (a);mm;52.233002,21.0614195;34;Elbląg;PSL;12;JASKÓLSKA;Wioletta;Kobieta;BEZP
280701;1;Iława;gm;53.5960005,19.559474;34;Elbląg;PSL;13;ŻYLIŃSKI;Adam Jacek;Mężczyzna;BEZP
280406;3;Młynary;gmw;54.201907,19.6929065;34;Elbląg;PSL;14;NISIEWICZ;Ewa;Kobieta;BEZP
280305;2;Płośnica;gw;53.237144,20.0146225;34;Elbląg;PSL;15;GROBLEWSKI;Krzysztof;Mężczyzna;BEZP
280303;2;Iłowo-Osada;gw;53.1885425,20.304507;34;Elbląg;PSL;16;ŻELICHOWSKI;Stanisław;Mężczyzna;PSL
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;KOBW;1;PROTAS;Jacek;Mężczyzna;PORP
280701;1;Iława;gm;53.5960005,19.559474;34;Elbląg;KOBW;2;HORDEJUK;Bernadeta Justyna;Kobieta;PORP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;3;GELERT;Elżbieta Kazimiera;Kobieta;PORP
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;KOBW;4;CIEŚLIŃSKI;Piotr;Mężczyzna;PORP
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;KOBW;5;DEMBEK;Ewa Barbara;Kobieta;PORP
281508;3;Morąg;gmw;53.912672,19.9548145;34;Elbląg;KOBW;6;KRÓLAK;Katarzyna;Kobieta;Nowoczesna
280301;1;Działdowo;gm;53.240164,20.1808175;34;Elbląg;KOBW;7;JANICKI;Marian;Mężczyzna;BEZP
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;KOBW;8;DZIĄG;Leszek Jan;Mężczyzna;PORP
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;KOBW;9;ZABŁOCKA;Elżbieta;Kobieta;PORP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;10;CZYŻYK;Antoni;Mężczyzna;PORP
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;KOBW;11;KOWALSKI;Ryszard;Mężczyzna;PORP
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;KOBW;12;JANCZEWSKA;Krystyna;Kobieta;PORP
280702;1;Lubawa;gm;53.5005075,19.7549105;34;Elbląg;KOBW;13;BORKOWSKI;Marek;Mężczyzna;BEZP
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;KOBW;14;DOMAŃSKA;Angelika Jolanta;Kobieta;Zieloni
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;15;PIŚKIEWICZ;Łukasz;Mężczyzna;PORP
280102;1;Górowo Iławeckie;gm;54.288508,20.488305;34;Elbląg;KOBW;16;SYCZ;Miron;Mężczyzna;PORP
281403;3;Dobre Miasto;gmw;53.9972015,20.428826;34;Elbląg;KONFEDERACJA;1;WYRĘBEK;Andrzej Piotr;Mężczyzna;Korwin
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;2;SZYNKIELEWSKA;Kaja Ewelina;Kobieta;BEZP
280705;2;Lubawa;gw;53.525275,19.775952;34;Elbląg;KONFEDERACJA;3;ŁOŻYŃSKI;Krystian Maciej;Mężczyzna;RuchNarodowy
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;4;KACZKOWSKI;Tomasz Jacek;Mężczyzna;Korwin
281401;3;Barczewo;gmw;53.844892,20.7121685;34;Elbląg;KONFEDERACJA;5;HUL;Marek;Mężczyzna;BEZP
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;6;POŁEĆ;Agnieszka Maria;Kobieta;BEZP
280202;2;Braniewo (c);gw;54.3726675,19.881581;34;Elbląg;KONFEDERACJA;7;RUKSZTEŁŁO;Teresa Genowefa;Kobieta;BEZP
280702;1;Lubawa;gm;53.5005075,19.7549105;34;Elbląg;KONFEDERACJA;8;ZENOWICZ;Marika;Kobieta;RuchNarodowy
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;9;SZCZEPAŃSKA;Genowefa Grażyna;Kobieta;BEZP
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;KONFEDERACJA;10;CHRAPAN;Marek;Mężczyzna;RuchNarodowy
