okr00;woj;okrname;coord;okr;komitet;nrk;glosy2015;p2015;Idk;empty;komitet2;kto;glosy2019
33;26;Kielce;50.85419,20.615443;33;PSL;1;6851;1.46;1298141;33;PSL;SIEKIERSKI Czesław Adam;12745
25;22;Gdańsk;54.361096,18.6899295;25;PiS;1;34997;8.19;1298204;25;PiS;SELLIN Jarosław Daniel;29834
23;18;Rzeszów;50.0058865,21.976327;23;SLD;1;11157;2.20;1298221;23;SLD;BUŻ Wiesław;15605
26;22;Słupsk;54.4605945,17.0281465;26;PSL;1;4662;1.00;1298251;26;PSL;BIERNACKI Marek;19272
36;30;Kalisz;51.747363,18.0760685;36;PSL;1;18776;5.17;1298253;36;PSL;GRZYB Andrzej Marian;21214
8;08;Zielona Góra;51.9277125,15.5215805;8;PSL;1;2499;0.72;1298262;8;PSL;FEDAK Jolanta Beata;13792
21;16;Opole;50.6788155,17.9061435;21;SLD;1;6169;1.82;1298282;21;SLD;ZAWISZA Marcelina Monika;19206
38;30;Piła;53.134976,16.7601705;38;PSL;1;3345;1.24;1298385;38;PSL;PASZYK Krzysztof Michał;13585
37;30;Konin;52.2562205,18.262651;37;SLD;1;15350;5.53;1298431;37;SLD;NOWAK Paulina;14730
13;12;Kraków;50.046894,20.0048255;13;PSL;1;3502;0.65;1298563;13;PSL;ŚCIGAJ Agnieszka;20877
34;28;Elbląg;54.1988105,19.434411;34;PiS;1;10194;5.09;1298620;34;PiS;KRASULSKI Leonard Seweryn;19747
24;20;Białystok;53.1275085,23.156492;24;PSL;1;7010;1.61;1298625;24;PSL;KRAJEWSKI Stefan;13439
32;24;Katowice;50.214288,19.008149;32;PO;1;23429;8.23;1298640;32;KO;SAŁUGA Wojciech Paweł;18738
13;12;Kraków;50.046894,20.0048255;13;PiS;1;81379;14.99;1298687;13;PiS;WASSERMANN Małgorzata Ewa;140692
41;32;Szczecin;53.429696,14.6242155;41;SLD;1;6444;1.69;1298708;41;SLD;WIECZOREK Dariusz Krzysztof;24924
4;04;Bydgoszcz;53.129727,18.038169;4;SLD;1;12956;3.46;1298724;4;SLD;GAWKOWSKI Krzysztof Kamil;30859
5;04;Toruń;53.014486,18.6014485;5;PSL;1;7230;1.99;1298739;5;PSL;SZRAMKA Paweł;14404
23;18;Rzeszów;50.0058865,21.976327;23;PO;1;23576;4.65;1298751;23;KO;PONCYLJUSZ Paweł Janusz;23312
34;28;Elbląg;54.1988105,19.434411;34;PSL;1;4478;2.23;1298758;34;PSL;ZIEJEWSKI Zbigniew;9028
16;14;Płock;52.5354155,19.7150025;16;PO;1;16271;5.42;1298817;16;KO;KIERWIŃSKI Marcin Piotr;30013
38;30;Piła;53.134976,16.7601705;38;PO;1;21700;8.03;1298848;38;KO;JANYSKA Maria Małgorzata;30783
35;28;Olsztyn;53.776555,20.4665675;35;SLD;1;12961;4.87;1298862;35;SLD;KULASEK Marcin Robert;20453
31;24;Katowice;50.214288,19.008149;31;SLD;1;13766;3.35;1298888;31;SLD;KONIECZNY Maciej;22262
39;30;Poznań;52.4006265,16.90154;39;PiS;1;32910;8.03;1298939;39;PiS;EMILEWICZ Jadwiga Katarzyna;43958
37;30;Konin;52.2562205,18.262651;37;PO;1;17925;6.46;1299035;37;KO;NOWAK Tomasz Piotr;23693
15;12;Tarnów;50.002445,21.021696;15;PO;1;13928;4.78;1299072;15;KO;AUGUSTYN Urszula Danuta;20120
3;02;Wrocław;51.1261165,16.991816;3;SLD;1;14542;2.78;1299182;3;SLD;ŚMISZEK Krzysztof Jan;43447
1;02;Legnica;51.2047315,16.1583115;1;SLD;1;9813;2.75;1299208;1;SLD;SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena;41480
22;18;Krosno;49.6892935,21.753032;22;PO;1;14562;4.46;1299210;22;KO;FRYDRYCH Joanna Zofia;18623
7;06;Chełm;51.1355835,23.489705;7;PiS;1;30365;8.94;1299214;7;PiS;SASIN Jacek Robert;91241
12;12;Kraków;50.046894,20.0048255;12;PO;1;20867;7.68;1299310;12;KO;NIEDZIELA Dorota;22013
24;20;Białystok;53.1275085,23.156492;24;SLD;1;8519;1.96;1299424;24;SLD;KRUTUL Paweł;13455
18;14;Siedlce;52.1617485,22.27579;18;PSL;1;11892;3.17;1299442;18;PSL;SAWICKI Marek Wacław;18950
7;06;Chełm;51.1355835,23.489705;7;PO;1;10485;3.09;1299446;7;KO;HAIDAR Riad;21483
27;24;Bielsko-Biała;49.812118,19.038784;27;PO;1;26927;7.98;1299463;27;KO;NYKIEL Mirosława;46849
28;24;Częstochowa;50.8096365,19.122219;28;PSL;1;2861;1.21;1299633;28;PSL;KIEPURA Henryk;9763
37;30;Konin;52.2562205,18.262651;37;PSL;1;6609;2.38;1299723;37;PSL;TOMCZAK Jacek Jerzy;9833
21;16;Opole;50.6788155,17.9061435;21;PO;1;20084;5.94;1299763;21;KO;ZEMBACZYŃSKI Witold Maciej;40022
24;20;Białystok;53.1275085,23.156492;24;PO;1;19453;4.47;1299813;24;KO;TYSZKIEWICZ Robert;17185
22;18;Krosno;49.6892935,21.753032;22;SLD;1;6463;1.98;1299815;22;SLD;RYDZIK Łukasz Michał;10391
25;22;Gdańsk;54.361096,18.6899295;25;SLD;1;13158;3.08;1299833;25;SLD;MACIEJEWSKA Beata Monika;23319
4;04;Bydgoszcz;53.129727,18.038169;4;PO;1;32552;8.70;1299902;4;KO;ZWIEFKA Tadeusz Antoni;39984
40;32;Koszalin;54.2071915,16.2167295;40;PO;1;17647;8.13;1300059;40;KO;ZIENTARSKI Piotr Benedykt;18771
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;PO;1;10157;3.55;1300147;10;KO;GRABARCZYK Cezary Stanisław;16357
13;12;Kraków;50.046894,20.0048255;13;SLD;1;22060;4.06;1300225;13;SLD;GDULA Maciej Roman;35279
40;32;Koszalin;54.2071915,16.2167295;40;SLD;1;13196;6.08;1300230;40;SLD;PROKOP-PACZKOWSKA Małgorzata Barbara;15300
38;30;Piła;53.134976,16.7601705;38;SLD;1;12544;4.64;1300251;38;SLD;STANDERSKI Dariusz Marian;12560
25;22;Gdańsk;54.361096,18.6899295;25;PSL;1;3458;0.81;1300270;25;PSL;KOBYLARZ Andrzej Sławomir;7463
34;28;Elbląg;54.1988105,19.434411;34;PO;1;18099;9.03;1300342;34;KO;PROTAS Jacek;24266
27;24;Bielsko-Biała;49.812118,19.038784;27;PSL;1;3362;1.00;1300353;27;PSL;SZEMLA Mirosław Stanisław;10108
15;12;Tarnów;50.002445,21.021696;15;SLD;1;5106;1.75;1300465;15;SLD;JABŁOŃSKI Jacek Andrzej;9956
6;06;Lublin;51.218389,22.563923;6;PO;1;43459;8.91;1300490;6;KO;MUCHA Joanna;57577
30;24;Bielsko-Biała;49.812118,19.038784;30;SLD;1;3586;1.24;1300520;30;SLD;KOPIEC Maciej Kamil;14973
28;24;Częstochowa;50.8096365,19.122219;28;PO;1;19160;8.10;1300625;28;KO;LESZCZYNA Izabela Dorota;36266
36;30;Kalisz;51.747363,18.0760685;36;PO;1;25525;7.03;1300633;36;KO;WITCZAK Mariusz Sebastian;36120
10;10;Piotrków Trybunalski;51.4129525,19.716625;10;SLD;1;9824;3.44;1300659;10;SLD;SOWIŃSKA Anita Katarzyna;13023
39;30;Poznań;52.4006265,16.90154;39;SLD;1;8982;2.19;1300667;39;SLD;UEBERHAN Katarzyna;33373
8;08;Zielona Góra;51.9277125,15.5215805;8;PO;1;29304;8.46;1300827;8;KO;ANIŚKO Tomasz Witold;23870
18;14;Siedlce;52.1617485,22.27579;18;SLD;1;7597;2.02;1300861;18;SLD;OLKO Dorota Zofia;12055
27;24;Bielsko-Biała;49.812118,19.038784;27;SLD;1;8752;2.59;1300862;27;SLD;KOPERSKI Przemysław Adam;22055
12;12;Kraków;50.046894,20.0048255;12;SLD;1;4310;1.59;1300864;12;SLD;ŚMIAŁEK Ryszard Kazimierz;10695
17;14;Radom;51.417238,21.156178;17;PO;1;14537;5.28;1300953;17;KO;KLUZIK-ROSTKOWSKA Joanna Grażyna;19320
