rok;nro;nrlisty;komitet;nrk;nazwisko;imiona;plec;zawod;partia;glosy;procent;mandat
2015;6;3;PRAZEM;17;FURMANIAK;Szymon;M;bibliotekarz;PRAZEM;646;0.13;n
2015;6;4;KORWiN;1;ROZPENDOWSKI;Michał Paweł;M;konferansjer;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;12281;2.52;n
2015;6;4;KORWiN;2;KOZIEŁ;Krzysztof;M;przedsiębiorca;BEZPARTYJNY;1833;0.38;n
2015;6;4;KORWiN;3;KONOWAŁEK;Jarosław Konrad;M;organista;Ruch Narodowy;2419;0.50;n
2015;6;4;KORWiN;4;WIŚLIŃSKA;Natalia Anna;K;nauczyciel akademicki;BEZPARTYJNY;1502;0.31;n
2015;6;4;KORWiN;5;WOJCIECHOWSKA;Anna Barbara;K;doradca zawodowy;BEZPARTYJNY;736;0.15;n
2015;6;4;KORWiN;6;ŚWIŚ;Mirosław;M;przedstawiciel handlowy;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;281;0.06;n
2015;6;4;KORWiN;7;URBA;Tomasz Marcin;M;właściciel małego sklepu;BEZPARTYJNY;299;0.06;n
2015;6;4;KORWiN;8;ZAKRZEWSKI;Adrian;M;student;BEZPARTYJNY;529;0.11;n
2015;6;4;KORWiN;9;NIEZBECKI;Mariusz Grzegorz;M;telemarketer;BEZPARTYJNY;161;0.03;n
2015;6;4;KORWiN;10;KUSZYK;Martyna;K;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;240;0.05;n
2015;6;4;KORWiN;11;BANACH;Artur Lech;M;specjalista bankowości;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;356;0.07;n
2015;6;4;KORWiN;12;GRAD;Marzena;K;technik ekonomista;BEZPARTYJNY;110;0.02;n
2015;6;4;KORWiN;13;RODAK;Jakub;M;student;BEZPARTYJNY;340;0.07;n
2015;6;4;KORWiN;14;KOŁODZIEJ;Anna Dominika;K;nauczyciel muzyki;BEZPARTYJNY;188;0.04;n
2015;6;4;KORWiN;15;WYPYCH;Michał;M;politolog;BEZPARTYJNY;219;0.04;n
2015;6;4;KORWiN;16;WASAK;Marika Patrycja;K;kucharz;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;142;0.03;n
2015;6;4;KORWiN;17;WOLSKI;Michał Kamil;M;kierownik ds kontroli jakości;BEZPARTYJNY;228;0.05;n
2015;6;4;KORWiN;18;MUNDZIK;Paulina;K;student;BEZPARTYJNY;115;0.02;n
2015;6;4;KORWiN;19;KAWĘCKA-OLIWA;Anna Jadwiga;K;nauczyciel przedszkola;BEZPARTYJNY;61;0.01;n
2015;6;4;KORWiN;20;KASPRZAK;Dominika;K;student;BEZPARTYJNY;215;0.04;n
2015;6;4;KORWiN;21;ZABIELSKI;Maciej Krzysztof;M;specjalista ds public relations;BEZPARTYJNY;278;0.06;n
2015;6;4;KORWiN;22;KRÓL;Agnieszka Anna;K;przedstawiciel handlowy;BEZPARTYJNY;343;0.07;n
2015;6;4;KORWiN;23;DRĄCZKOWSKA-SOBSTYL;Martyna;K;windykator;BEZPARTYJNY;70;0.01;n
2015;6;4;KORWiN;24;BRYK;Jonasz Krzysztof;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;204;0.04;n
2015;6;4;KORWiN;25;SOWA;Marta Justyna;K;architekt krajobrazu;BEZPARTYJNY;169;0.03;n
2015;6;4;KORWiN;26;SKUPIŃSKA;Urszula Ewa;K;rolnik;BEZPARTYJNY;87;0.02;n
2015;6;4;KORWiN;27;OSKROBA;Wojciech;M;politolog;BEZPARTYJNY;168;0.03;n
2015;6;4;KORWiN;28;SERWIN;Elżbieta Anna;K;właściciel małego sklepu;BEZPARTYJNY;115;0.02;n
2015;6;4;KORWiN;29;KOBYLARZ;Paweł Krzysztof;M;prawnik;BEZPARTYJNY;187;0.04;n
2015;6;4;KORWiN;30;HUNEK;Jarosław Tadeusz;M;doradca podatkowy;BEZPARTYJNY;500;0.10;n
2015;6;5;PSL;1;ŁOPATA;Jan Zbigniew;M;parlamentarzysta;PSL;7750;1.59;t
2015;6;5;PSL;2;SMOLARZ;Henryk Józef;M;parlamentarzysta;PSL;5686;1.17;n
2015;6;5;PSL;3;STAROWNIK;Marian Roman;M;urzędnik państwowy;PSL;2808;0.58;n
2015;6;5;PSL;4;RZETELSKI;Piotr Sławomir;M;przedsiębiorca;PSL;2487;0.51;n
2015;6;5;PSL;5;KOS;Marek;M;lekarz medycyny;PSL;3183;0.65;n
2015;6;5;PSL;6;ŚWIĘTOCHOWSKI;Leszek Jan;M;ekonomista;PSL;2870;0.59;n
2015;6;5;PSL;7;RODZIK;Zenon Jerzy;M;urzędnik samorządowy;PSL;1408;0.29;n
2015;6;5;PSL;8;CZERSKA-GĄSIEWSKA;Hanna Barbara;K;lekarz medycyny;PSL;2212;0.45;n
2015;6;5;PSL;9;CHOLEWA;Roman Władysław;M;urzędnik samorządowy;PSL;630;0.13;n
2015;6;5;PSL;10;KOŁODZIEJCZYK;Dariusz Stanisław;M;urzędnik samorządowy;PSL;1313;0.27;n
2015;6;5;PSL;11;BIEŃKO;Andrzej;M;lekarz weterynarii;PSL;607;0.12;n
2015;6;5;PSL;12;SZCZOTKA;Maria;K;pracownik naukowy;BEZPARTYJNY;183;0.04;n
2015;6;5;PSL;13;WIELGÓRSKA;Monika Urszula;K;specjalista ds medycznych;BEZPARTYJNY;273;0.06;n
2015;6;5;PSL;14;KITA;Andrzej Wiesław;M;przedsiębiorca;PSL;258;0.05;n
2015;6;5;PSL;15;ROLA;Elżbieta;K;nauczyciel;PSL;268;0.05;n
2015;6;5;PSL;16;WILKOS;Wioletta Jadwiga;K;ekonomista;BEZPARTYJNY;196;0.04;n
2015;6;5;PSL;17;GIZA;Iwona;K;urzędnik samorządowy;PSL;389;0.08;n
2015;6;5;PSL;18;SĘK;Jan;M;prawnik;PSL;101;0.02;n
2015;6;5;PSL;19;BRZUCH;Elżbieta Maria;K;urzędnik administracji rządowej;PSL;189;0.04;n
2015;6;5;PSL;20;WOROSZYŁO;Beata Dorota;K;urzędnik samorządowy;BEZPARTYJNY;422;0.09;n
2015;6;5;PSL;21;AUGUSTYNIAK;Anna Jolanta;K;urzędnik samorządowy;BEZPARTYJNY;669;0.14;n
2015;6;5;PSL;22;KASPRZAK;Renata Jolanta;K;lekarz medycyny;BEZPARTYJNY;160;0.03;n
2015;6;5;PSL;23;BUJAK;Małgorzata;K;urzędnik administracji rządowej;PSL;260;0.05;n
2015;6;5;PSL;24;MAŁECKI;Arkadiusz;M;urzędnik samorządowy;BEZPARTYJNY;489;0.10;n
2015;6;5;PSL;25;MISIASZEK;Magdalena;K;student;BEZPARTYJNY;290;0.06;n
2015;6;5;PSL;26;SZLENDAK;Jarosław;M;geodeta;PSL;811;0.17;n
2015;6;5;PSL;27;STĘPNIAK;Krzysztof Wojciech;M;nauczyciel;PSL;513;0.11;n
2015;6;5;PSL;28;KORBUT;Mirosław;M;muzyk;PSL;74;0.02;n
2015;6;5;PSL;30;SEREDYN;Elżbieta;K;pedagog specjalny;PSL;1234;0.25;n
