teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
106201;1;Piotrków Trybunalski;mm;51.4129525,19.716625;10;Piotrków Trybunalski;SLD;2;OSTROWSKI;Artur Zygmunt;Mężczyzna;SLD;51.408360 19.716521
101505;2;Lipce Reymontowskie;gw;51.9089105,19.9371565;10;Piotrków Trybunalski;SLD;3;PANAK;Marta;Kobieta;LRazem;51.909804 19.938710
100101;1;Bełchatów;gm;51.354576,19.362666;10;Piotrków Trybunalski;SLD;4;ROZPARA;Tadeusz;Mężczyzna;SLD;51.355986 19.366616
101201;1;Radomsko;gm;51.071194,19.442784;10;Piotrków Trybunalski;SLD;5;PTAK;Małgorzata Alicja;Kobieta;BEZP;51.078418 19.441517
100201;1;Kutno;gm;52.2222815,19.3711305;11;Sieradz;SLD;1;MATYSIAK;Paulina;Kobieta;LRazem;52.225592 19.365328
100502;2;Bielawy;gw;52.0820775,19.641363;11;Sieradz;SLD;2;OLEJNICZAK;Cezary Roman;Mężczyzna;SLD;52.082912 19.643877
101401;1;Sieradz;gm;51.6017525,18.738381;11;Sieradz;SLD;3;IDZIKOWSKI;Wiktor;Mężczyzna;Wiosna;51.609173 18.734973
101807;3;Wieruszów;gmw;51.32343,18.163538;11;Sieradz;SLD;4;KAŹMIERSKA-MAŁYSKA;Iwona Monika;Kobieta;BEZP;51.326356 18.161605
101408;2;Sieradz;gw;51.5846685,18.758729;11;Sieradz;SLD;5;WALUDA;Henryk;Mężczyzna;SLD;51.583299 18.762267
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;1;ŚMIAŁEK;Ryszard Kazimierz;Mężczyzna;SLD;50.068329 20.030354
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;2;WÓJTOWICZ;Katarzyna Małgorzata;Kobieta;BEZP;50.031870 19.996718
126101;1;Kraków (a);mm;50.046894,20.0048255;12;Kraków;SLD;3;ZAWADA;Tomasz Leszek;Mężczyzna;LRazem;50.030703 19.985444
120303;3;Chrzanów;gmw;50.1393335,19.384946;12;Kraków;SLD;4;BROŻEK;Dominika Maria;Kobieta;BEZP;50.137348 19.380048
