Komitet;Typ;Pozycja;Nazwisko;Imiona;Plec;Partia;Zawod
SLD;KWPP;4;KRÓL;Józef Stanisław;Mężczyzna;BEZP;technik elektryk
SLD;KWPP;5;DROPEK;Magdalena;Kobieta;BEZP;dziennikarka
SLD;KWPP;6;KUBAŃSKA;Magdalena Bronisława;Kobieta;SLD;księgowa
SLD;KWPP;7;BIELAWSKA;Barbara Ewa;Kobieta;LRazem;pedagożka
SLD;KWPP;8;TRZYBIŃSKI;Marek;Mężczyzna;SLD;emeryt
SLD;KWPP;9;SZYMAŃSKA;Monika Anna;Kobieta;LRazem;psycholog
SLD;KWPP;10;PLEBAŃCZYK;Piotr;Mężczyzna;BEZP;politolog
SLD;KWPP;11;HAŃDEREK;Joanna Ewa;Kobieta;BEZP;nauczyciel akademicki
SLD;KWPP;12;ŚRODA;Piotr Andrzej;Mężczyzna;BEZP;elektronik
SLD;KWPP;13;BERYT;Alicja Joanna;Kobieta;LRazem;grafik komputerowy DTP
SLD;KWPP;14;FRENKIEL;Monika Iwona;Kobieta;BEZP;dziennikarka
SLD;KWPP;15;KAWĘCKA;Dorota Zuzanna;Kobieta;LRazem;specjalistka ds. pozyskiwania funduszy
SLD;KWPP;16;BURZAWA;Mateusz Ryszard;Mężczyzna;LRazem;religioznawca
SLD;KWPP;17;WOLAŃSKA;Katarzyna Anna;Kobieta;BEZP;politolog
SLD;KWPP;18;IVCHENKO;Olesia;Kobieta;LRazem;psycholog
SLD;KWPP;19;IDZIK;Tomasz Grzegorz;Mężczyzna;BEZP;student
SLD;KWPP;20;GULIŃSKA;Anna Małgorzata;Kobieta;BEZP;prezeska
SLD;KWPP;21;MODZELEWSKI;Bartłomiej Jakub;Mężczyzna;BEZP;pedagog
SLD;KWPP;22;GROBLER;Piotr Paweł;Mężczyzna;BEZP;specjalista ds. pozyskiwania funduszy
SLD;KWPP;23;ZIELENIEWSKI;Rafał Roman;Mężczyzna;członek partii politycznej: Polska Partia Socjalistyczna;informatyk
SLD;KWPP;24;JAŚKOW;Adam Stanisław;Mężczyzna;BEZP;specjalista analityk
SLD;KWPP;25;GALENT;Marcin;Mężczyzna;LRazem;nauczyciel akademicki - nauki ekonomiczne
SLD;KWPP;26;TEKIEL;Paulina Agnieszka;Kobieta;BEZP;sekretarz sądowy
SLD;KWPP;27;GAŁKA;Kinga;Kobieta;BEZP;technik hotelarstwa
SLD;KWPP;28;LEŚNIAK;Tomasz Marek;Mężczyzna;BEZP;politolog
KOBW;KKW;1;KOWAL;Paweł Robert;Mężczyzna;BEZP;nauczyciel akademicki
KOBW;KKW;2;LIPIEC;Grzegorz Cezary;Mężczyzna;PORP;politolog
