teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;ret;onumo;trans
280902;2;Kiwity;gw;54.111839,20.7214115;34;Elbląg;PiS;16;PAWLIK;Jacek Roman;Mężczyzna;PiS;[1];34;34==34
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;PSL;1;ZIEJEWSKI;Zbigniew;Mężczyzna;PSL;[1];34;34==34
280703;2;Iława;gw;53.637493,19.580732;34;Elbląg;PSL;2;ŻUCHOWSKI;Piotr;Mężczyzna;PSL;[1];34;34==34
280302;2;Działdowo;gw;53.2888035,20.151917;34;Elbląg;PSL;3;FREJNIK;Dariusz;Mężczyzna;BEZP;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PSL;4;PIETRULEWICZ;Edward Mieczysław;Mężczyzna;BEZP;[0];-1;
280202;2;Braniewo (c);gw;54.3726675,19.881581;34;Elbląg;PSL;5;SZAKIEWICZ;Paweł;Mężczyzna;PSL;[1];34;34==34
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PSL;6;SOWICKA;Małgorzata Dorota;Kobieta;BEZP;[0];-1;
281508;3;Morąg;gmw;53.912672,19.9548145;34;Elbląg;PSL;7;MARCHALEWSKA;Monika Barbara;Kobieta;BEZP;[0];-1;
280103;2;Bartoszyce (c);gw;54.2431525,20.800376;34;Elbląg;PSL;8;HUSZCZA;Robert Jan;Mężczyzna;PSL;[0];-1;
280705;2;Lubawa;gw;53.525275,19.775952;34;Elbląg;PSL;9;GRANACKA;Katarzyna;Kobieta;PSL;[1];34;34==34
280304;3;Lidzbark;gmw;53.2476565,19.840099;34;Elbląg;PSL;10;WIŚNIEWSKI;Andrzej Janusz;Mężczyzna;PSL;[0];-1;
280205;3;Pieniężno;gmw;54.252748,20.1959875;34;Elbląg;PSL;11;SŁOMCZYŃSKA-KĄDZIOŁKA;Anetta Krystyna;Kobieta;BEZP;[0];-1;
146510;1;Mst Warszawa (a);mm;52.233002,21.0614195;34;Elbląg;PSL;12;JASKÓLSKA;Wioletta;Kobieta;BEZP;[0];-1;
280701;1;Iława;gm;53.5960005,19.559474;34;Elbląg;PSL;13;ŻYLIŃSKI;Adam Jacek;Mężczyzna;BEZP;[0];-1;
280406;3;Młynary;gmw;54.201907,19.6929065;34;Elbląg;PSL;14;NISIEWICZ;Ewa;Kobieta;BEZP;[0];-1;
280305;2;Płośnica;gw;53.237144,20.0146225;34;Elbląg;PSL;15;GROBLEWSKI;Krzysztof;Mężczyzna;BEZP;[0];-1;
280303;2;Iłowo-Osada;gw;53.1885425,20.304507;34;Elbląg;PSL;16;ŻELICHOWSKI;Stanisław;Mężczyzna;PSL;[1];34;34==34
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;KOBW;1;PROTAS;Jacek;Mężczyzna;PORP;[1];34;34==34
280701;1;Iława;gm;53.5960005,19.559474;34;Elbląg;KOBW;2;HORDEJUK;Bernadeta Justyna;Kobieta;PORP;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;3;GELERT;Elżbieta Kazimiera;Kobieta;PORP;[1];34;34==34
280901;1;Lidzbark Warmiński;gm;54.130781,20.5674325;34;Elbląg;KOBW;4;CIEŚLIŃSKI;Piotr;Mężczyzna;PORP;[1];34;34==34
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;KOBW;5;DEMBEK;Ewa Barbara;Kobieta;PORP;[1];34;34==34
281508;3;Morąg;gmw;53.912672,19.9548145;34;Elbląg;KOBW;6;KRÓLAK;Katarzyna;Kobieta;Nowoczesna;[0];-1;
280301;1;Działdowo;gm;53.240164,20.1808175;34;Elbląg;KOBW;7;JANICKI;Marian;Mężczyzna;BEZP;[0];-1;
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;KOBW;8;DZIĄG;Leszek Jan;Mężczyzna;PORP;[0];-1;
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;KOBW;9;ZABŁOCKA;Elżbieta;Kobieta;PORP;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;10;CZYŻYK;Antoni;Mężczyzna;PORP;[0];-1;
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;KOBW;11;KOWALSKI;Ryszard;Mężczyzna;PORP;[0];-1;
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;KOBW;12;JANCZEWSKA;Krystyna;Kobieta;PORP;[0];-1;
280702;1;Lubawa;gm;53.5005075,19.7549105;34;Elbląg;KOBW;13;BORKOWSKI;Marek;Mężczyzna;BEZP;[0];-1;
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;KOBW;14;DOMAŃSKA;Angelika Jolanta;Kobieta;Zieloni;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KOBW;15;PIŚKIEWICZ;Łukasz;Mężczyzna;PORP;[0];-1;
280102;1;Górowo Iławeckie;gm;54.288508,20.488305;34;Elbląg;KOBW;16;SYCZ;Miron;Mężczyzna;PORP;[1];34;34==34
281403;3;Dobre Miasto;gmw;53.9972015,20.428826;34;Elbląg;KONFEDERACJA;1;WYRĘBEK;Andrzej Piotr;Mężczyzna;Korwin;[1];35;35=>34
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;2;SZYNKIELEWSKA;Kaja Ewelina;Kobieta;BEZP;[1];34;34==34
280705;2;Lubawa;gw;53.525275,19.775952;34;Elbląg;KONFEDERACJA;3;ŁOŻYŃSKI;Krystian Maciej;Mężczyzna;RuchNarodowy;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;4;KACZKOWSKI;Tomasz Jacek;Mężczyzna;Korwin;[1];34;34==34
