10011;1;18.84795556,54.25074667 
10013;10;18.84776444,54.25071111 18.84773403,54.25067139 18.84780879,54.25073057 18.84791778,54.25066667 18.84774833,54.25073278 18.86401778,54.26561778 18.87880889,54.27369778 18.78958667,54.30609333 18.70533111,54.32289778 18.63641000,54.38634000 
10014;25;18.84868222,54.25087556 18.84819000,54.25084000 18.84794167,54.25090889 18.84724417,54.25093889 18.84752653,54.25080722 18.84760993,54.25084139 18.84770608,54.25077847 18.84787859,54.25130479 18.84778041,54.25107906 18.84772687,54.25090620 18.84774121,54.25081532 18.84793727,54.25075211 18.84796864,54.25076272 18.84791432,54.25084580 18.84791827,54.25087401 18.84780358,54.25076590 18.84750735,54.25069184 18.84772145,54.25069036 18.84779406,54.25070074 18.84745592,54.25065481 18.84762240,54.25072518 18.84761565,54.25067593 18.84754005,54.25074463 18.84741336,54.25063676 18.84759334,54.25064727 
10015;2;18.84850444,54.25079111 18.84830000,54.25074444 
600022;4;18.63347000,54.38665333 18.63225778,54.38685778 18.63493111,54.38660444 18.63551556,54.38724000 
600026;1;18.63317333,54.38648889 
600053;8;18.63152556,54.38595111 18.63346778,54.38648889 18.63351674,54.38652222 18.63353031,54.38656799 18.63337792,54.38649000 18.63323974,54.38646236 18.63322011,54.38679224 18.63298444,54.38653333 
600077;8;18.63347833,54.38653111 18.63351948,54.38651653 18.63352205,54.38651562 18.63641000,54.38634000 18.63368556,54.38665333 18.63348340,54.38672431 18.63351737,54.38648554 18.63283778,54.38591556 
600078;1;18.84715264,54.25084792 
600104;1;18.84714667,54.25142222 
600139;5;18.63350278,54.38648222 18.63333594,54.38655042 18.63328134,54.38655051 18.63331512,54.38656637 18.63641000,54.38634000 
600182;1;18.84721778,54.25096889 
600186;1;18.84698590,54.25082889 
600187;2;18.63346111,54.38651556 18.63412778,54.38693556 
600290;1;18.63422222,54.38738667 
600335;6;18.63532111,54.38664000 18.63344139,54.38657000 18.63333111,54.38656444 18.63336069,54.38657153 18.63331518,54.38661822 18.63317667,54.38718222 
600337;2;18.63641000,54.38634000 18.63312639,54.38631000 
600363;2;18.63347667,54.38658222 18.63341514,54.38670389 
98001;27;18.19489200,54.27186500 18.17537333,54.25704444 18.17906778,54.25719556 18.18406333,54.26075111 18.19401222,54.27043556 18.63333667,54.38659111 18.63314766,54.38677198 18.63332147,54.38677162 18.63321030,54.38665823 18.62329333,54.37530222 18.60772667,54.37618667 18.58887500,54.36432200 18.59378600,54.36177400 18.61082000,54.40249700 18.60366456,54.38001071 18.61608700,54.37036000 18.61057800,54.37001700 18.60060800,54.37851500 18.58887500,54.36432200 18.60866800,54.37733600 18.60544300,54.37469900 18.57637768,54.39857637 18.55689900,54.44212700 18.55305300,54.45725700 18.57094600,54.44535500 18.55429000,54.47313000 18.55078140,54.47606120 
