id;coords;city
11045;54.40706000 18.58903824;GD
11046;54.40743357 18.61011231;GD
11047;54.40209866 18.59146372;GD
11048;54.40764216 18.61480923;GD
11049;54.39669674 18.61191275;GD
11050;54.39547296 18.60328588;GD
11051;54.38819497 18.61705227;GD
11052;54.39145670 18.61700927;GD
11053;54.38579331 18.61649050;GD
11054;54.38329625 18.62234550;GD
11055;54.38813200 18.62276874;GD
11056;54.38233040 18.63792477;GD
11057;54.38702325 18.62878499;GD
11058;54.35693641 18.66053953;GD
11059;54.41396941 18.59811068;GD
11060;54.35767824 18.65056363;GD
11061;54.35856249 18.65348953;GD
11062;54.37571574 18.62644158;GD
11063;54.37761503 18.61923548;GD
11064;54.37425064 18.63093191;GD
11065;54.37893368 18.61615422;GD
11066;54.35375360 18.65744918;GD
11067;54.41091624 18.60415336;GD
11068;54.35227649 18.65753141;GD
11069;54.42794681 18.59038998;GD
11070;54.35279204 18.65454242;GD
11071;54.41620677 18.59642909;GD
11072;54.35110148 18.65389613;GD
11073;54.42170731 18.60166950;GD
11074;54.35082358 18.65584158;GD
11075;54.42479392 18.59541212;GD
11076;54.35068150 18.65133952;GD
11077;54.42355437 18.58715604;GD
11078;54.35001860 18.64720719;GD
11079;54.42033300 18.58382200;GD
11080;54.35176844 18.65118005;GD
11081;54.40895357 18.59406855;GD
11082;54.35019821 18.64639946;GD
11083;54.40479516 18.59694834;GD
11084;54.37946516 18.63161684;GD
11085;54.34849057 18.64926078;GD
11086;54.40659457 18.60571137;GD
11087;54.35250894 18.64926482;GD
11088;54.40980119 18.59932985;GD
11089;54.35097634 18.64822285;GD
11090;54.39716500 18.60451300;GD
11091;54.34766604 18.65666132;GD
11092;54.40006401 18.59538972;GD
11093;54.34825683 18.65383384;GD
11094;54.39994585 18.60645665;GD
11095;54.35323088 18.65284699;GD
11096;54.34779534 18.65585242;GD
11097;54.34724493 18.65350887;GD
11098;54.40501948 18.60440434;GD
11099;54.39709609 18.59783846;GD
11100;54.41817471 18.56573945;GD
11101;54.42330078 18.56440495;GD
11102;54.42061899 18.56476537;GD
11103;54.34905277 18.65084600;GD
11104;54.41390401 18.56587395;GD
11105;54.40965806 18.56739540;GD
11106;54.40527777 18.57073546;GD
11107;54.40085220 18.57366572;GD
11108;54.40095118 18.57487676;GD
11109;54.37644490 18.62388262;GD
11110;54.41843664 18.55976343;GD
11111;54.41553510 18.55787994;GD
11112;54.38999577 18.59793729;GD
11113;54.41184057 18.55621700;GD
11114;54.37208522 18.62561742;GD
11115;54.38759000 18.61077000;GD
11116;54.35911530 18.61754702;GD
11117;54.38873737 18.60509804;GD
11118;54.40445170 18.56406216;GD
11119;54.38312560 18.61451768;GD
11120;54.38983887 18.60876631;GD
11121;54.39205705 18.58996344;GD
11122;54.38373907 18.60598967;GD
11123;54.38153501 18.60719597;GD
11124;54.39077660 18.59650789;GD
11125;54.39210928 18.60534303;GD
11126;54.38464757 18.60926987;GD
11127;54.39622935 18.58922238;GD
11128;54.38633000 18.60572000;GD
11129;54.39588826 18.57069545;GD
11130;54.38543387 18.56967991;GD
11131;54.38685023 18.57810877;GD
11132;54.38102273 18.61360371;GD
11133;54.40889468 18.55540448;GD
11134;54.38986578 18.57388776;GD
11135;54.38678647 18.57225319;GD
11136;54.40637024 18.55988183;GD
11137;54.37238357 18.62008810;GD
11138;54.38977929 18.56848521;GD
11139;54.41427449 18.57969085;GD
11140;54.39550624 18.56883051;GD
11141;54.34818574 18.60640960;GD
11142;54.37000850 18.61058460;GD
11143;54.41328110 18.58490941;GD
11144;54.40974685 18.57051924;GD
11145;54.40956741 18.57569415;GD
