date;GA;GD;Kart;PG;Puck;Reda;Rumia;SI;SO;Sop;ST;Tcz;WW;Zuk
2019-06-18;1.26;0.89;2.42;1.64;0.44;1.02;0.77;1.53;1.85;1.39;2.95;1.33;2.25;1.78
2019-06-19;1.45;0.83;3.63;1.33;0.53;0.97;0.98;2.65;1.57;1.55;2.89;1.57;2.19;2.91
2019-06-20;1.44;0.83;2.61;1.11;0.48;0.88;0.73;2.70;1.35;2.06;2.44;1.76;1.56;2.74
2019-06-21;1.30;0.85;2.58;1.12;0.52;0.61;1.07;2.26;2.77;1.46;2.79;1.85;1.83;4.08
2019-06-22;1.41;0.79;1.84;1.09;0.56;0.88;1.34;1.29;2.94;1.38;2.61;1.71;1.77;2.95
2019-06-23;1.28;0.80;1.80;1.41;0.48;0.73;0.81;1.84;2.03;1.85;1.91;1.81;2.00;2.28
2019-06-24;1.33;0.80;3.46;1.88;0.59;0.83;0.92;2.28;2.37;1.45;4.13;1.60;2.43;2.60
2019-06-25;1.40;0.69;3.74;1.62;0.57;0.91;1.26;2.00;2.16;1.52;4.46;1.76;1.57;2.53
2019-06-26;1.52;0.67;3.57;1.25;0.45;1.11;1.35;2.89;2.19;1.82;4.49;1.66;2.75;2.99
2019-06-27;1.79;0.83;3.96;1.79;0.46;0.80;0.97;2.98;2.80;1.31;4.49;1.74;2.99;3.00
2019-06-28;1.65;0.75;3.66;1.89;0.54;0.97;1.14;2.97;2.75;1.28;4.29;1.60;2.86;3.49
2019-06-29;1.63;0.74;2.49;1.65;0.69;1.31;1.06;2.68;1.33;1.38;3.20;1.68;2.71;2.73
2019-06-30;1.53;0.65;3.28;1.88;0.59;0.96;1.18;2.13;3.22;2.10;2.43;1.77;2.19;1.54
