komitet;numer;posel;glosy
15;2;SKWIERCZYŃSKI Grzegorz Krzysztof;6963
3;1;GIERTYCH Roman Jacek;35812
6;1;KACZYŃSKI Jarosław;171129
6;2;KAMIŃSKI Mariusz;9142
6;3;GOSIEWSKA Małgorzata Maria;4251
6;6;OŁDAKOWSKI Jan Łukasz;3939
6;8;PONCYLJUSZ Paweł Janusz;4232
6;12;KARSKI Karol;2953
6;20;GÓRSKI Artur;2850
7;1;KALISZ Ryszard Roman;36013
7;2;PIEKARSKA Katarzyna Maria;26511
7;32;GADZINOWSKI Piotr;11650
8;1;GRONKIEWICZ-WALTZ Hanna Beata;137280
8;2;ŚPIEWAK Paweł;18403
8;4;FABISIAK Joanna;6693
8;6;WOJCIECHOWICZ Jacek Piotr;3380
8;10;KOSECKI Roman Jacek;4395
8;11;KIDAWA-BŁOŃSKA Małgorzata Maria;4615
8;15;HIBNER Jolanta Emilia;3512
8;37;PITERA Julia Teresa;39815
3;1;ŚLUSARCZYK Piotr Jan;7863
6;1;LIPIŃSKI Adam Józef;17857
6;2;WITEK Elżbieta Barbara;7476
6;4;ZUBOWSKI Jan Kazimierz;5813
6;5;MADZIARCZYK Tadeusz Józef;8068
7;1;SZMAJDZIŃSKI Jerzy Andrzej;20741
7;2;ZBRZYZNY Ryszard;9644
8;1;SCHETYNA Grzegorz Juliusz;14978
8;3;SAWICKA Beata Dorota;8764
8;9;CYBULSKI Piotr;7332
15;1;LITWIN Czesław;9902
15;5;COSTA Hubert Ranjan;3521
3;1;PAWŁOWSKI Szymon Jerzy;7984
6;1;DORN Ludwik;39929
6;2;ZAWISZA Artur;10093
6;4;SZYSZKO Jan;7042
6;7;OLSZEWSKI Dariusz;5797
7;1;TOBER Michał;8945
8;1;KOMOROWSKI Bronisław Maria;42100
8;2;SMIRNOW Andrzej;10263
8;3;ZAKRZEWSKA Jadwiga Teresa;4972
8;4;OLECHOWSKA Alicja Danuta;6395
15;1;SIKORA Krzysztof Ryszard;5695
3;1;KAWA Marek;6346
6;1;KŁOSOWSKI Sławomir;17894
6;2;CEGLECKA-ZIELONKA Teresa Zuzanna;5280
6;4;WALKIEWICZ Mieczysław;4634
7;1;GARBOWSKI Tomasz;7517
8;1;JAZŁOWIECKA Danuta;14248
8;2;JARMUZIEWICZ Tadeusz;9635
8;3;KORZENIOWSKI Leszek Sylwester;7798
8;4;KNOSALA Ryszard;9087
15;1;STĘPKOWSKI Józef;8714
15;3;LEWANDOWSKA Sandra Magdalena;5215
19;1;KROLL Henryk;7852
19;2;GALLA Ryszard;9072
3;1;DASZYK Marian Józef;8276
3;2;KOŁODZIEJ Janusz Adam;3786
6;1;KUCHCIŃSKI Marek;16061
6;2;ZAJĄC Stanisław;25225
6;5;ĆWIERZ Andrzej;6161
6;10;GOLBA Mieczysław;5551
7;1;POMAJDA Wojciech Tadeusz;6622
8;1;ŁUKACIJEWSKA Elżbieta Katarzyna;14166
8;3;KULESZA Tomasz;5621
10;1;KASPRZAK Mieczysław;7795
15;1;MAKSYMIUK Janusz Roman;7384
3;1;WRZODAK Zygmunt;18921
3;2;MURIAS Halina;6062
6;1;KŁECZEK Dariusz;16698
6;2;PAKUŁA-SACHARCZUK Anna;8675
6;5;SZLACHTA Andrzej;13824
6;6;OŻÓG Stanisław;16922
6;8;CHMIELOWIEC Zbigniew;10236
6;11;GOŁOJUCH Kazimierz;8245
6;15;MOSKAL Kazimierz;9541
7;1;STĘPIEŃ Władysław Piotr;10505
8;1;SKOWROŃSKA Krystyna;16479
8;2;TOMAKA Jan Walenty;7915
8;3;RYNASIEWICZ Zbigniew;10354
10;1;BURY Jan;12050
15;1;ZBYROWSKA Maria;12171
3;1;FEDOROWICZ Andrzej;12752
3;5;JAROTA Jan;3763
6;1;JURGIEL Krzysztof;42920
6;2;ZIELIŃSKI Jarosław;15780
6;3;KOŁAKOWSKI Lech Antoni;6373
6;6;BOGUCKI Jacek;7189
6;30;CZEPE Roman;4087
7;1;STRZALIŃSKI Marek;11045
7;2;CZYKWIN Eugeniusz;14181
8;1;TYSZKIEWICZ Robert;13232
8;3;KLIM Józef Piotr;7815
8;8;RACZKOWSKI Damian;5527
10;3;BORAWSKI Edmund;5311
15;1;WIŚNIOWSKA Genowefa;10670
15;3;WÓJCIK Janusz;4236
6;1;CYMAŃSKI Tadeusz;23518
6;2;KURSKI Jacek Olgierd;26446
6;3;FOLTYN-KUBICKA Hanna;5725
6;4;LISS Andrzej Marcelin;5674
7;1;OSTROWSKA Małgorzata Teresa;12861
8;1;TUSK Donald Franciszek;79237
8;2;NOWAK Sławomir Ryszard;9061
8;3;ZIELIŃSKA-GŁĘBOCKA Anna Maria;3797
8;4;RYBICKI Arkadiusz Czesław;9466
8;6;KOZDROŃ Jerzy;3868
8;24;WAŁĘSA Jarosław Leszek;14709
15;1;HOJARSKA Danuta;10155
3;1;STRĄK Robert;13859
6;1;SZCZYPIŃSKA Jolanta Irena;20270
6;2;SELLIN Jarosław Daniel;18097
6;4;KOZAK Zbigniew Ryszard;7901
6;18;KACZYŃSKI Ryszard Paweł;7750
7;1;SENYSZYN Joanna;11925
7;2;JARUGA-NOWACKA Izabela Walentyna;10492
8;1;BIERNACKI Marek;41336
8;2;AZIEWICZ Tadeusz;9093
8;3;KLEINA Kazimierz Mariusz;7896
8;4;PLOCKE Kazimierz Florian;9579
8;5;BUDNIK Jerzy Feliks;8396
8;10;LAMCZYK Stanisław Józef;6276
15;1;WOSZCZEROWICZ Lech;5987
3;1;ZADORA Stanisław;6463
6;1;FALFUS Jacek Eugeniusz;27698
6;2;MATUSZNY Kazimierz Władysław;9033
6;3;PIĘTA Stanisław Jan;7240
6;6;SZWED Stanisław;10006
7;1;SZWARC Jan;7642
8;1;TOMCZYKIEWICZ Tomasz;22221
8;2;MUCHACKI Rafał Klemens;12015
8;3;KOPEĆ Tadeusz Wiktor;6206
6;1;GIŻYŃSKI Szymon Stanisław;15840
6;2;KARASIEWICZ Lucjan Dominik;6844
6;3;WIŚNIEWSKA Jadwiga Maria;6131
7;1;JANIK Ewa Maria;6077
8;1;MANIURA Edward Makary;11279
8;2;ROZPONDEK Halina Leokadia;9949
15;1;GRZESIK Andrzej Marek;9501
6;1;JĘDRYCH Jędrzej;13791
6;2;SZARAMA Wojciech Piotr;9280
6;4;WITA Tadeusz;4656
6;5;CHŁOPEK Aleksander Antoni;5366
7;1;MARTYNIUK Wacław Andrzej;11339
8;1;SZUMILAS Krystyna Maria;16105
8;2;GAŁAŻEWSKI Andrzej Józef;9524
8;5;GŁOGOWSKI Tomasz Marian;6812
8;7;WIĘCKOWSKA Ewa Małgorzata;7018
15;1;MORIC Rajmund Klemens;3091
6;1;WIĄZOWSKI Waldemar Bogdan;9751
6;2;WAWRYNIEWICZ Ryszard Jan;7663
6;3;ROMAN Giovanni Adam;4373
7;1;GOŁĘBIEWSKI Henryk;8454
8;1;CHLEBOWSKI Zbigniew;18281
8;2;MRZYGŁOCKA Izabela Katarzyna;5271
8;4;SZULC Jakub Maciej;5004
15;1;KOŁACZ Grzegorz;6904
6;1;PIECHA Bolesław Grzegorz;23887
6;2;WÓJCIK Michał Marek;7428
6;3;KLOC Izabela Helena;5185
6;6;JANIK Grzegorz Piotr;4417
7;1;MOTOWIDŁO Tadeusz;13488
8;1;MARKOWIAK Andrzej Janusz;10539
8;2;WYCISŁO Eugeniusz Józef;6836
8;4;GADOWSKI Krzysztof Jan;7705
8;8;SIEDLACZEK Henryk Piotr;7476
6;1;POLACZEK Jerzy Jan;39335
6;2;NOWAK Maria Teresa;9866
6;3;MIKUŁA Krzysztof Józef;10208
6;6;LYSKO Alojzy Wiktor;6581
6;7;TOBISZOWSKI Grzegorz Józef;7662
7;1;ZABOROWSKI Zbyszek;12643
8;1;SOŚNIERZ Andrzej Stanisław;54876
8;2;PIERZCHAŁA Elżbieta Apolonia;10646
8;3;RZYMEŁKA Jan Antoni;8878
8;5;PIETRASZEWSKA Danuta Róża;9841
8;6;WÓJCIK Marek Krzysztof;4408
8;23;SZYGA Krzysztof Michał;3882
3;1;SOSNOWSKI Antoni;5537
6;1;MALIK Ewa;16537
6;2;ANDZEL Waldemar;4257
6;3;KOŚCIELNIAK Jacek;3765
7;1;JĘDRUSIK Wiesław Leszek;9761
7;3;PODRAZA Zbigniew Marian;5363
8;1;DOLNIAK Grzegorz Maciej;12151
8;2;SAŁUGA Wojciech Paweł;10968
8;4;MAŁECKA-LIBERA Beata Maria;6882
3;1;PARDA Radosław;7856
6;1;GOSIEWSKI Przemysław Edgar;31253
6;2;OLENDZKA Halina;5386
6;3;RUSIECKI Jarosław;4009
6;5;ZUBA Maria;3397
6;7;LIPIEC Krzysztof;4697
7;1;STĘPIEŃ Włodzimierz Tadeusz;12655
7;6;MILCARZ Henryk Mieczysław;5251
8;1;MIODOWICZ Konstanty;14505
8;2;GRZEGOREK Krzysztof Józef;8730
8;24;PACELT Zbigniew;3982
10;2;PAWLAK Mirosław Antoni;6684
10;5;PAŁYS Andrzej Józef;5055
15;1;OLEJNIK Małgorzata Dorota;12398
15;2;CEPIL Józef;10526
15;4;SUŁEK Leszek;7590
6;1;KRASULSKI Leonard Seweryn;7777
6;2;GAJEWSKA Karolina;4784
7;1;GINTOWT-DZIEWAŁTOWSKI Witold Józef;9389
8;1;LISEK Krzysztof;10731
8;2;GORCZYCA Stanisław Andrzej;5822
10;1;ŻELICHOWSKI Stanisław;3532
15;1;ROCHNOWSKA Renata Maria;7411
15;2;OŁDAKOWSKI Adam;7488
3;1;OŚKO Edward;5725
6;1;SZCZYGŁO Aleksander Marek;19006
6;3;PUZA Adam Jan;5213
6;4;GOSIEWSKI Jerzy Antoni;3782
7;2;IWIŃSKI Tadeusz;9734
8;1;RYBICKI Sławomir Piotr;12557
8;2;STAROŃ Lidia Ewa;12188
8;19;BUBLEWICZ Beata Maria;5198
10;2;WŁODKOWSKI Zbigniew;2842
15;1;ASZKIEŁOWICZ Mieczysław;5892
3;1;RATAJCZAK Elżbieta;8342
6;1;CZARNECKI Witold;12826
6;2;DERA Andrzej Mikołaj;7520
6;8;ROGACKI Adam;6905
7;1;SZCZEPAŃSKI Wiesław Andrzej;8253
7;2;WOŹNY Grzegorz Marian;9178
8;1;GRUPIŃSKI Rafał;8168
8;2;ZIEMNIAK Wojciech Stanisław;13193
8;3;URBANIAK Jarosław;7400
10;1;GRZYB Andrzej Marian;7986
15;1;DĘBICKI Tadeusz;10027
15;2;PTAK Bernard Adam;7023
6;1;HOFMAN Adam;10994
6;3;DOLATA Zbigniew;9880
7;1;TOMASZEWSKI Tadeusz;12213
8;1;NOWAK Tomasz Piotr;9559
8;2;ARNDT Paweł;6546
10;1;GRZESZCZAK Eugeniusz;5181
15;1;BUDNER Alfred;16075
15;2;PILARZ Józef;6083
15;8;RUCIŃSKI Andrzej;2366
6;1;KRACZKOWSKI Maks;10458
6;6;CZARNECKI Krzysztof Władysław;3406
7;1;STEC Stanisław;9944
7;2;PIOSIK Stanisław;5105
8;1;SZEJNFELD Adam Stanisław;26568
8;4;CHMIELEWSKI Stanisław Marcin;3419
8;7;RUTNICKI Jakub Adam;3182
10;1;KALEMBA Stanisław;7830
15;4;BEGER Renata Lidia;10537
6;1;LIBICKI Jan Filip;17503
6;2;STRYJSKA Małgorzata;12791
6;4;TOMCZAK Jacek;17991
6;7;GÓRSKI Tomasz;8664
7;1;ŁYBACKA Krystyna Maria;18637
8;1;DZIKOWSKI Waldy;54959
8;2;PASŁO-WIŚNIEWSKA Maria;7062
8;3;STULIGROSZ Michał;12659
8;5;LIPIŃSKI Dariusz;4482
8;8;FIEDLER Arkady;9920
3;1;DOBROSZ Janusz Konrad;14655
6;1;UJAZDOWSKI Kazimierz Michał;46736
6;2;JACKIEWICZ Dawid Bohdan;12362
6;3;NATALLI-ŚWIAT Aleksandra;5068
6;6;KEMPA Beata Agnieszka;5378
6;9;KILIAN Wiesław;7524
7;1;KRASOŃ Janusz;15162
8;1;ZDROJEWSKI Bogdan;73959
8;2;HUSKOWSKI Stanisław Tadeusz;12334
8;3;DUDA Jarosław;5901
8;4;PIECHOTA Sławomir Jan;7281
8;5;MŁYŃCZAK Aldona Janina;2903
8;6;WOLAK Ewa Wanda;3465
15;1;ŻYSZKIEWICZ Jerzy;10527
6;1;HOC Czesław;10746
6;4;GOLIŃSKI Marian Tomasz;5408
7;1;WZIĄTEK Stanisław Czesław;8887
8;1;GAWŁOWSKI Stanisław;7879
8;2;KARPINIUK Sebastian Marek;9767
15;1;LEPPER Andrzej Zbigniew;33535
15;2;ŁĄCZNY Jan;2229
15;4;BEDNAREK Jan Paweł;1102
3;1;WIECHECKI Rafał;6058
6;1;BRUDZIŃSKI Joachim Stanisław;14731
6;2;DOBRZYŃSKI Leszek;7136
6;5;MASŁOWSKA Mirosława Jolanta;7675
6;6;JACH Michał;5724
7;1;PIECHOTA Jacek Jan;17257
7;2;NAPIERALSKI Grzegorz Bernard;14673
8;1;ZAREMBA Krzysztof Piotr;22812
8;2;NITRAS Sławomir Witold;14238
8;3;KOCHAN Magdalena Maria;6294
8;7;LITWIŃSKI Arkadiusz;7794
15;1;WASILEWSKA-KITA Regina;6890
15;2;PISKORSKI Mateusz Andrzej;5610
3;1;HATKA Witold;5856
6;1;MARKOWSKI Tomasz Maciej;17097
6;2;MOJZESOWICZ Wojciech;12601
6;3;LATOS Tomasz Edward;10059
6;4;WALKOWIAK Andrzej;5203
7;1;ZEMKE Janusz Władysław;33672
7;2;CIEMNIAK Grażyna Jolanta;3807
7;22;JENERALSKI Sławomir Bogusław;4343
8;1;PIOTROWSKA Teresa;16716
8;2;ŚWIĄTKOWSKI Maciej;8780
8;8;OLSZEWSKI Paweł Bartosz;6850
15;1;BESTRY Jan;6941
3;1;SOBECKA Anna Elżbieta;13761
6;1;MĘŻYDŁO Antoni;16229
6;2;GIRZYŃSKI Zbigniew;8734
6;4;ZBONIKOWSKI Łukasz;7209
7;1;ŁUCZAK Krystian Walery;5824
7;3;WENDERLICH Jerzy;10761
8;1;WYROWIŃSKI Jan Alfons;14279
8;2;LENZ Tomasz;9472
8;3;KOPACZEWSKA Domicela Katarzyna;4870
10;1;SOSNOWSKI Zbigniew;5937
15;1;KRAJEWSKI Mirosław;11333
15;3;KUROPATWIŃSKI Lech Stefan;6115
15;5;NOWAKOWSKI Waldemar;4170
3;1;MAŃKA Andrzej;10646
3;2;MASŁOWSKA Gabriela;11977
6;1;KRUK Elżbieta Małgorzata;28535
6;2;MICHAŁKIEWICZ Krzysztof;11246
6;4;SADURSKA Małgorzata Barbara;6988
6;6;ŻACZEK Jarosław;6246
6;12;BIELECKI Jerzy;4748
7;2;KURCZUK Grzegorz;9683
8;1;PALIKOT Janusz Marian;26275
8;2;KARPIŃSKI Włodzimierz;8751
8;4;WILK Wojciech;5501
10;1;ŁOPATA Jan;8033
10;26;SMOLARZ Henryk Józef;4534
15;1;BORYSIUK Bolesław Borys;8256
15;4;GUT Alina;8455
3;1;ANDREJUK Przemysław;7000
3;2;WIERZEJSKI Wojciech;4932
6;1;DUDZIŃSKI Tomasz Mirosław;14892
6;2;ZAWIŚLAK Sławomir;5860
6;3;MAZUREK Beata;7012
7;1;SKOMRA Szczepan Stanisław;6348
8;1;ŻMIJAN Stanisław;7708
10;1;SŁAWECKI Tadeusz;6879
10;4;STEFANIUK Franciszek Jerzy;8336
15;1;MŁYNARCZYK Henryk;13633
15;2;GRABCZAN Zofia Anna;5971
15;3;ROMANIUK Wojciech Maciej;10719
3;10;BOSAK Krzysztof;3764
6;1;MARCINKIEWICZ Kazimierz;19305
6;3;MATERNA Jerzy Marian;5371
6;4;SURMACZ Marek Tomasz;8386
7;1;KOCHANOWSKI Jan;7378
7;4;WONTOR Bogusław;7793
8;1;FIEDOROWICZ Czesław;16153
8;2;BUKIEWICZ Bożenna;11237
8;5;BOJKO Bogdan;5123
8;9;SZADNY Waldemar;5941
10;1;ZYCH Józef;9566
15;1;STAROSTA Waldemar Henryk;8391
3;1;SOWIŃSKA Ewa Barbara;8536
6;1;KRZYWICKI Piotr;19944
6;3;JAGIEŁŁO Jarosław;13727
6;4;BARTYZEL Małgorzata;8333
7;1;PAWŁOWSKI Sylwester Stefan;12469
7;2;JANKOWSKA Elżbieta Róża;7495
8;1;ŚLEDZIŃSKA-KATARASIŃSKA Iwona Elżbieta;23119
8;2;DRZEWIECKI Mirosław Michał;10928
8;3;SKRZYDLEWSKA Joanna Katarzyna;11822
15;1;MISZTAL Piotr;8890
