komitet;numer;posel;glosy
20;1;BOROWSKI Marek Stefan;75493
20;2;KALISZ Ryszard Roman;37623
6;1;DORN Ludwik Stanisław;81696
6;2;BŁASZCZAK Mariusz;10061
6;3;SZYSZKO Jan Feliks;15623
6;22;SIKORA Anna;9264
8;1;KOMOROWSKI Bronisław Maria;139320
8;2;SMIRNOW Andrzej;10546
8;3;ZAKRZEWSKA Jadwiga Teresa;7593
8;4;OLECHOWSKA Alicja Danuta;6461
8;19;DURKA Zenon;7761
10;1;PIECHOCIŃSKI Janusz;13259
20;1;BALICKI Marek Zbigniew;19034
6;1;DĄBKOWSKA-CICHOCKA Lena;18394
6;2;KŁOSOWSKI Sławomir;13357
6;13;RELIGA Jan Andrzej;9093
8;1;KORZENIOWSKI Leszek Sylwester;35912
8;2;JAZŁOWIECKA Danuta;24859
8;3;JARMUZIEWICZ Tadeusz;18447
8;4;WĘGRZYN Robert;10132
8;6;KRUPA Adam;8122
8;8;BUŁA Andrzej;6301
8;22;TUSK Łukasz Maciej;20931
10;1;RAKOCZY Stanisław;7146
19;2;GALLA Ryszard;8193
20;1;GARBOWSKI Tomasz;13651
6;1;KUCHCIŃSKI Marek Tadeusz;35060
6;2;ZAJĄC Stanisław;32962
6;3;ĆWIERZ Andrzej Bogusław;6903
6;4;GOLBA Mieczysław Józef;12044
6;6;BABINETZ Piotr Mieczysław;8403
6;20;BURY Jan;6652
8;1;ŁUKACIJEWSKA Elżbieta Katarzyna;25011
8;2;KULESZA Tomasz Jerzy;9296
8;13;TOMAŃSKI Piotr;11578
10;1;KASPRZAK Mieczysław;10331
20;1;POMAJDA Wojciech Tadeusz;11015
6;1;GĘSICKA Grażyna;28982
6;2;OŻÓG Stanisław;38687
6;4;SZLACHTA Andrzej;16319
6;5;CHMIELOWIEC Zbigniew Michał;17243
6;6;MOSKAL Kazimierz Marian;21612
6;7;GOŁOJUCH Kazimierz Edward;12781
6;11;POPIOŁEK Krzysztof Andrzej;13467
6;30;BŁĄDEK Antoni;10642
8;1;RYNASIEWICZ Zbigniew Franciszek;28690
8;2;SKOWROŃSKA Krystyna;33557
8;3;TOMAKA Jan Walenty;11713
8;7;BUTRYN Renata Celina;10940
10;1;BURY Jan;21426
10;2;DEPTUŁA Leszek Roman;6688
20;1;KAMIŃSKI Tomasz;15200
6;1;PUTRA Krzysztof Jakub;53651
6;2;JURGIEL Krzysztof;28212
6;3;ZIELIŃSKI Jarosław;21830
6;4;KOŁAKOWSKI Lech Antoni;10457
6;5;BOGUCKI Jacek;13236
6;6;GWIAZDOWSKI Kazimierz;7545
6;7;KAMIŃSKI Mariusz;11823
8;1;TYSZKIEWICZ Robert;30971
8;2;CIEŚLIK Leszek Stanisław;9564
8;5;KLIM Józef Piotr;9938
8;15;ŻALEK Jacek;9560
8;30;RACZKOWSKI Damian;15762
10;1;KAMIŃSKI Jan;11798
20;1;MATWIEJUK Jarosław;20770
20;6;CZYKWIN Eugeniusz;14234
6;1;PŁAŻYŃSKI Maciej;58318
6;2;KURSKI Jacek Olgierd;23585
6;3;CYMAŃSKI Tadeusz;17726
8;1;NOWAK Sławomir Ryszard;65993
8;2;ZIELIŃSKA-GŁĘBOCKA Anna Maria;19268
8;3;RYBICKI Arkadiusz Czesław;13968
8;4;KOZDROŃ Jerzy;10671
8;6;NEUMANN Sławomir Arkadiusz;11742
8;14;KULAS Jan Edward;9607
8;23;GUZOWSKA Iwona Kamila;9534
8;24;WAŁĘSA Jarosław Leszek;61278
20;1;LIS Bogdan Jerzy;12468
6;1;SZCZYPIŃSKA Jolanta Irena;47996
6;2;SELLIN Jarosław Daniel;18167
6;3;KOZAK Zbigniew Ryszard;9608
6;6;STANKE Piotr Jerzy;8824
8;1;BIERNACKI Marek;84157
8;2;AZIEWICZ Tadeusz;17275
8;3;PLOCKE Kazimierz Florian;15763
8;4;BUDNIK Jerzy Feliks;12893
8;5;KONWIŃSKI Zbigniew Marek;19553
