komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;7;9;KOT Daniel;369;3.18;0.10;NX
K1;7;10;MINKIEWICZ Marianna;245;2.11;0.07;NX
K1;7;11;WIDZ Urszula Agnieszka;267;2.30;0.08;NX
K1;7;12;WOJTAS Alfred Tadeusz;186;1.60;0.05;NX
K1;7;13;SKOWRON Sławomir Andrzej;189;1.62;0.05;NX
K1;7;14;MISZTAL Stanisław;1414;12.18;0.40;NX
K1;7;15;PEREPECZO Romuald Franciszek;157;1.35;0.04;NX
K1;7;16;KOŁTUN Bolesław;275;2.37;0.08;NX
K1;7;17;WIŚNIEWSKI Stanisław;187;1.61;0.05;NX
K1;7;18;KAŹMIERUK Stanisław;51;0.43;0.01;NX
K1;7;19;SZAŁATA Eugeniusz;86;0.74;0.02;NX
K1;7;20;MAZUREK Wioletta;284;2.44;0.08;NX
K1;7;21;ŻUK Edward;874;7.53;0.25;NX
K1;8;1;STAROSTA Waldemar Henryk;2180;32.76;0.55;NX
K1;8;2;BIRECKI Andrzej;298;4.47;0.08;NX
K1;8;3;ROMANKIEWICZ Krzysztof Edward;700;10.51;0.18;NX
K1;8;4;POŹNIAK Paweł;485;7.28;0.12;NX
K1;8;5;SUCHOMEL Ireneusz Sebastian;144;2.16;0.04;NX
K1;8;6;MĄDRY Jarosław;342;5.13;0.09;NX
K1;8;7;KUBIAK Zbigniew;331;4.97;0.08;NX
K1;8;8;WAŁOWSKI Sławomir Marek;100;1.50;0.03;NX
K1;8;9;BAJGOT Krystyna Anna;204;3.06;0.05;NX
K1;8;10;SOBOTKA Grzegorz;221;3.32;0.06;NX
K1;8;11;PRZYGODZKA Bożena;233;3.50;0.06;NX
K1;8;12;FRANCUZIK Marian;92;1.38;0.02;NX
K1;8;13;WÓJCIK Mariusz;179;2.69;0.05;NX
K1;8;14;ZIOMKO Piotr Mariusz;86;1.29;0.02;NX
K1;8;15;LIZOŃ Aleksander;100;1.50;0.03;NX
K1;8;16;KRIEGER Romuald Leszek;27;0.40;0.01;NX
K1;8;17;BIAŁKOWSKA-ŚMIGIEL Olga;111;1.66;0.03;NX
K1;8;18;STEFANIAK Edward Zdzisław;75;1.12;0.02;NX
K1;8;19;WOLSKI Piotr;79;1.18;0.02;NX
K1;8;20;WĘGLEWSKI Marek;34;0.51;0.01;NX
K1;8;21;KIELEC Marian;88;1.32;0.02;NX
K1;8;22;ŚLUSARCZYK Andrzej;100;1.50;0.03;NX
K1;8;23;POTOCKA Katarzyna;250;3.75;0.06;NX
K1;8;24;NAWROCKI Maciej Grzegorz;195;2.93;0.05;NX
K1;9;1;MILLER Leszek Cezary;4142;67.34;0.98;NX
K1;9;2;FRANKOWSKI Paweł;647;10.52;0.15;NX
K1;9;3;GÓRSKI Paweł;221;3.59;0.05;NX
K1;9;4;BANDUREK Leszek;74;1.20;0.02;NX
