komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K5;4;15;KWIATKOWSKI Czesław Stanisław;1722;5.16;0.60;NX
K5;4;16;STRĄCZEK Eliza Zofia;774;2.31;0.27;NX
K5;4;17;KRYZA Patryk Krzysztof;409;1.22;0.14;NX
K5;4;18;SUŁEK Jadwiga;642;1.92;0.23;NX
K5;4;19;KASPRZYK Bogdan Tadeusz;580;1.73;0.20;NX
K5;4;20;MIEDZIANOWSKI Józef Zygmunt;287;0.86;0.10;NX
K5;4;21;MAŁKOWSKI Eugeniusz;498;1.49;0.17;NX
K5;4;22;RYBAK Piotr Władysław;1090;3.26;0.38;NX
K5;5;1;KRAJEWSKI Mirosław;11333;21.35;3.97;PX
K5;5;2;SUŁEK Leszek Kazimierz;4005;7.54;1.40;NX
K5;5;3;KUROPATWIŃSKI Lech Stefan;6115;11.52;2.14;PX
K5;5;4;OBUCHOWSKA Ewa;3206;6.04;1.12;NX
K5;5;5;NOWAKOWSKI Waldemar;4170;7.85;1.46;PX
K5;5;6;CENTKOWSKI Sławomir;2471;4.65;0.87;NX
K5;5;7;JANKOWSKI Stefan;2005;3.77;0.70;NX
K5;5;8;CHMIELEWSKI Marek Henryk;1217;2.29;0.43;NX
K5;5;9;BIERNACKI Grzegorz;1960;3.69;0.69;NX
K5;5;10;WOLSKI Piotr Aleksander;1667;3.14;0.58;NX
K5;5;11;SCHROEDER Krzysztof Gerard;873;1.64;0.31;NX
K5;5;12;MŁODZIANKIEWICZ Wiesław;957;1.80;0.34;NX
K5;5;13;KOZŁOWSKA Sylwia Dorota;3726;7.01;1.31;NX
K5;5;14;WÓJCIK Kazimierz;690;1.29;0.24;NX
K5;5;15;CZEPEK Stanisław Franciszek;1179;2.22;0.41;NX
K5;5;16;PIETRZAK Adam;1084;2.04;0.38;NX
K5;5;17;DUSZYŃSKI Marek Bolesław;469;0.88;0.16;NX
K5;5;18;GOŁĘBIEWSKI Marian Krzysztof;1224;2.30;0.43;NX
K5;5;19;TRYBUŁA Roman;482;0.90;0.17;NX
K5;5;20;PARADZIŃSKI Zdzisław;532;1.00;0.19;NX
K5;5;21;WIERZOWIECKI Zygmunt;1312;2.47;0.46;NX
K5;5;22;SIEMIANOWSKI Józef Jerzy;393;0.74;0.14;NX
K5;5;23;RUTKOWSKI Andrzej;1291;2.43;0.45;NX
K5;5;24;TRACZYKOWSKI Zbigniew;716;1.34;0.25;NX
K5;6;1;BORYSIUK Bolesław Borys;8256;14.26;2.08;PX
K5;6;2;KOŁODZIEJCZYK Marek;5735;9.90;1.45;NX
K5;6;3;KRZYSZCZAK Józef;1760;3.04;0.44;NX
K5;6;4;GUT Alina;8455;14.60;2.13;PX
K5;6;5;SKÓRSKI Stefan;3303;5.70;0.83;NX
K5;6;6;SALCZYŃSKI Sławomir;1362;2.35;0.34;NX
K5;6;7;STAREK Tomasz Józef;1152;1.99;0.29;NX
K5;6;8;WIDZ Marian Andrzej;2108;3.64;0.53;NX
K5;6;9;TAŁĘDA Julian Michał;1324;2.28;0.33;NX
K5;6;10;WARCHULSKI Bogusław;1110;1.91;0.28;NX
K5;6;11;KAWKA Zdzisław;775;1.33;0.20;NX
K5;6;12;MATACZ Dariusz Janusz;1450;2.50;0.37;NX
K5;6;13;KRAWCZYK Witold;2161;3.73;0.54;NX
K5;6;14;ŚWITAŁA Franciszek Marian;457;0.78;0.12;NX
K5;6;15;KOPEĆ Tadeusz Stefan;1620;2.79;0.41;NX
K5;6;16;KOWALIK Piotr Dawid;746;1.28;0.19;NX
K5;6;17;RYMARZ Stanisław;821;1.41;0.21;NX
K5;6;18;SŁONIECKI Andrzej;209;0.36;0.05;NX
K5;6;19;GOLUCH Wiesława Grażyna;1393;2.40;0.35;NX
K5;6;20;ŁOMNICKI Marian Henryk;1485;2.56;0.37;NX
K5;6;21;CHABROS Andrzej Marcin;516;0.89;0.13;NX
K5;6;22;DUDZIAK Henryk;2544;4.39;0.64;NX
K5;6;23;JUCHNIKOWSKI Józef Stanisław;1634;2.82;0.41;NX
K5;6;24;SIENKIEWICZ Dariusz;3074;5.31;0.78;NX
K5;6;25;KŁOS Józef Leszek;585;1.01;0.15;NX
K5;6;26;LIPKA Jadwiga Henryka;1233;2.13;0.31;NX
K5;6;27;SZEWCZAK Rafał Ariel;186;0.32;0.05;NX
K5;6;28;WOŹNIAK Jan;851;1.47;0.21;NX
K5;6;29;MAZUREK Wioletta;875;1.51;0.22;NX
K5;6;30;REMBIELIŃSKA-SŁONIECKA Magdalena;701;1.21;0.18;NX
K5;7;1;MŁYNARCZYK Henryk;13633;22.55;4.70;PX
K5;7;2;GRABCZAN Zofia Anna;5971;9.88;2.06;PX
K5;7;3;ROMANIUK Wojciech Maciej;10719;17.73;3.69;PX
K5;7;4;KUDYBA Bogusław;4119;6.81;1.42;NX
K5;7;5;GONTARZ Józef;4483;7.41;1.54;NX
K5;7;6;RUSIŃSKI Andrzej;2480;4.10;0.85;NX
K5;7;7;PIELA Franciszek Stanisław;1210;2.00;0.42;NX
K5;7;8;ZATORSKI Lesław Franciszek;1125;1.86;0.39;NX
K5;7;9;HAWRYLUK Jerzy;1810;2.99;0.62;NX
K5;7;10;GONTARZ Tadeusz;2757;4.56;0.95;NX
K5;7;11;DENKIEWICZ Włodzimierz;535;0.88;0.18;NX
K5;7;12;BUCIOR Stefan;1144;1.89;0.39;NX
K5;7;13;ŁUBKOWSKI Leszek;740;1.22;0.26;NX
K5;7;14;SZAFRANIEC Jan;1676;2.77;0.58;NX
K5;7;15;WŁOSTOWSKI Michał Daniel;763;1.26;0.26;NX
K5;7;16;JONIK Edyta;1299;2.14;0.45;NX
K5;7;17;BŁAZIAK Ewa;791;1.30;0.27;NX
K5;7;18;BAŁKA Ryszard;1443;2.38;0.50;NX
K5;7;19;BORECZEK Adela Ewa;261;0.43;0.09;NX
K5;7;20;PĄGOWSKI Tomasz;478;0.79;0.16;NX
K5;7;21;CZUCHRA Michał;380;0.62;0.13;NX
K5;7;22;PILIPIEC Bogusław;989;1.63;0.34;NX
K5;7;23;DZIKOŃ Mieczysław;1629;2.69;0.56;NX
K5;8;1;STAROSTA Waldemar Henryk;8391;27.18;3.10;PX
K5;8;2;GANCZAR Ireneusz;2954;9.56;1.09;NX
K5;8;3;TUPIN Ryszard;754;2.44;0.28;NX
K5;8;4;KOWSZ Bogdan Lech;1202;3.89;0.44;NX
K5;8;5;NAWROCKI Maciej Grzegorz;2223;7.20;0.82;NX
K5;8;6;KOWALSKI Piotr;1527;4.94;0.56;NX
K5;8;7;PIETRASZ Ireneusz;926;2.99;0.34;NX
K5;8;8;TOMASZEK Krzysztof;1501;4.86;0.55;NX
K5;8;9;KWAPIŃSKA Alina;2527;8.18;0.93;NX
K5;8;10;KOŚCIUK Stanisław Ryszard;394;1.27;0.15;NX
K5;8;11;SZUKALSKI Zdzisław Stanisław;645;2.08;0.24;NX
K5;8;12;MĄDRY Jarosław;1809;5.86;0.67;NX
K5;8;13;GOSPODAREK Teresa Alina;792;2.56;0.29;NX
K5;8;14;MIERKIEWICZ Wojciech;330;1.06;0.12;NX
K5;8;15;ŚWIERCZYŃSKI Waldemar;766;2.48;0.28;NX
K5;8;16;BABUL Marek;398;1.28;0.15;NX
K5;8;17;STEFANIAK Edward;444;1.43;0.16;NX
K5;8;18;POPRAWKA Edward Grzegorz;339;1.09;0.13;NX
K5;8;19;SUCHOMEL Ireneusz;142;0.46;0.05;NX
K5;8;20;MAJEWSKI Marian;403;1.30;0.15;NX
K5;8;21;BATURA Ewa;792;2.56;0.29;NX
K5;8;22;BIELECKI Walerian;647;2.09;0.24;NX
K5;8;23;ŁASZCZYŃSKI Bogdan;160;0.51;0.06;NX
K5;8;24;RADZIUK Aniela Krystyna;802;2.59;0.30;NX
K5;9;1;MISZTAL Piotr;8890;35.02;3.02;PX
K5;9;2;FRANKOWSKI Paweł;2566;10.10;0.87;NX
K5;9;3;KUBASIEWICZ Krzysztof;3792;14.93;1.29;NX
K5;9;4;KARP Kazimierz;750;2.95;0.26;NX
K5;9;5;FIDO Lidia;2030;7.99;0.69;NX
K5;9;6;PAWŁOWSKA Ewa;1520;5.98;0.52;NX
K5;9;7;KAZUSEK Iwona Ewa;715;2.81;0.24;NX
K5;9;8;SIKORSKI Władysław;661;2.60;0.22;NX
K5;9;9;KLAT Ryszard;372;1.46;0.13;NX
K5;9;10;WRZESZCZ Robert;274;1.07;0.09;NX
K5;9;11;BUKOWSKA Aleksandra;587;2.31;0.20;NX
K5;9;12;MURDZEK Mariusz;124;0.48;0.04;NX
K5;9;13;STOLIŃSKI Robert Zdzisław;224;0.88;0.08;NX
K5;9;14;POTERAJ Andrzej;434;1.70;0.15;NX
K5;9;15;WOJTAS Józef;616;2.42;0.21;NX
K5;9;16;ORZECHOWSKA-STOLARSKA Anna;495;1.95;0.17;NX
K5;9;17;KRZEMIŃSKI Przemysław;235;0.92;0.08;NX
K5;9;18;GUZICKI Jan;383;1.50;0.13;NX
K5;9;19;MIELEWCZYK Andrzej;171;0.67;0.06;NX
K5;9;20;MILLER Jan;543;2.13;0.18;NX
K5;10;1;ŁYŻWIŃSKI Stanisław Józef;21101;43.92;9.47;PX
K5;10;2;KRASKA Marek Grzegorz;3611;7.51;1.62;NX
K5;10;3;POPECKA Zdzisława;2024;4.21;0.91;NX
K5;10;4;MORAWSKI Paweł Krzysztof;2119;4.41;0.95;NX
K5;10;5;STRZĘPEK Mariusz Edward;1448;3.01;0.65;NX
K5;10;6;BABCZYŃSKI Kazimierz;1399;2.91;0.63;NX
K5;10;7;MOLKA Halina;3706;7.71;1.66;PX
K5;10;8;NIEWCZAS Roman;823;1.71;0.37;NX
K5;10;9;SZEWCZYK Piotr Wiktor;1014;2.11;0.46;NX
K5;10;10;STANKIEWICZ Jerzy;3328;6.92;1.49;NX
K5;10;11;CHODKIEWICZ Paweł;966;2.01;0.43;NX
K5;10;12;ROŚNIAK Tadeusz;1138;2.36;0.51;NX
K5;10;13;PIĄTKOWSKI Henryk;1557;3.24;0.70;NX
K5;10;14;KOCIOŁEK Piotr;914;1.90;0.41;NX
K5;10;15;KRAWCZYK Aneta Krystyna;2419;5.03;1.09;NX
K5;10;16;SZKOPIK Marcin Jerzy;467;0.97;0.21;NX
K5;11;1;TYSZKO Grażyna Alicja;10981;17.48;3.83;PX
K5;11;2;URBANIAK Janina;4428;7.05;1.54;NX
K5;11;3;KIEDOS Edward Józef;6016;9.58;2.10;PX
K5;11;4;STAWSKI Rafał;1871;2.97;0.65;NX
K5;11;5;MIŁEK Sławomir;3673;5.84;1.28;NX
K5;11;6;WISZNIEWSKI Stanisław;1294;2.06;0.45;NX
K5;11;7;WOJTERA Marek;8715;13.88;3.04;PX
K5;11;8;MITKA Jolanta;3543;5.64;1.23;NX
K5;11;9;PRZYBYŁ Jerzy;4307;6.85;1.50;NX
K5;11;10;KIJANKA Jan;934;1.48;0.33;NX
K5;11;11;JARZĘBOWSKI Lesław Adam;1557;2.47;0.54;NX
K5;11;12;SOŁTYSZEWSKI Marcin;1576;2.51;0.55;NX
K5;11;13;OLEJNICZAK Bogusław Andrzej;5650;8.99;1.97;NX
K5;11;14;KOWALCZYK Paweł;1320;2.10;0.46;NX
K5;11;15;KLEJMAN Grzegorz;1362;2.16;0.47;NX
K5;11;16;SZUKALSKI Rafał Tomasz;445;0.70;0.16;NX
K5;11;17;WOJCIECHOWSKI Waldemar;2146;3.41;0.75;NX
K5;11;18;WAJSZCZAK Ryszard Franciszek;400;0.63;0.14;NX
K5;11;19;MATUSZEWSKI Maciej;739;1.17;0.26;NX
K5;11;20;ŻYBURTOWICZ Jacek Aleksander;209;0.33;0.07;NX
K5;11;21;PIECHOCKI Dariusz Robert;621;0.98;0.22;NX
K5;11;22;PRZESPOLEWSKI Jerzy Marek;1000;1.59;0.35;NX
K5;12;1;IRZYK Franciszek;5516;32.33;2.75;NX
K5;12;2;BOGUSZ Marek Andrzej;1431;8.38;0.71;NX
K5;12;3;DAŃKÓW Andrzej;1486;8.71;0.74;NX
K5;12;4;LICHOŃ Lucyna Anna;1684;9.87;0.84;NX
K5;12;5;ZATORSKA Ewa;2272;13.31;1.13;NX
K5;12;6;KOREK-FOKS Władysława Karolina;486;2.84;0.24;NX
K5;12;7;HRAPKOWICZ Marian Edmund;486;2.84;0.24;NX
K5;12;8;KUBIŃSKA Joanna Aneta;644;3.77;0.32;NX
K5;12;9;STICH Jerzy Tomasz;191;1.11;0.10;NX
K5;12;10;SUŁKOWSKI Zbigniew;719;4.21;0.36;NX
K5;12;11;SMĘDER Grzegorz;172;1.00;0.09;NX
K5;12;12;DUDA Jędrzej;551;3.22;0.27;NX
K5;12;13;STADNIK Henryk;222;1.30;0.11;NX
K5;12;14;JAROCKI Ryszard;273;1.60;0.14;NX
K5;12;15;ZAWARTKA Krzysztof Marian;243;1.42;0.12;NX
K5;12;16;KORCZ Michał Jarosław;684;4.00;0.34;NX
K5;13;1;TOKAJ Eugeniusz Jacek;4971;23.43;1.18;NX
K5;13;2;WÓJCIK Kazimierz Marian;3332;15.70;0.79;NX
K5;13;3;CZARSKI Mieczysław;1046;4.93;0.25;NX
K5;13;4;PLUCIŃSKI Leon Krzysztof;750;3.53;0.18;NX
K5;13;5;RYBIAŁEK Bogumiła Maria;917;4.32;0.22;NX
K5;13;6;PALEJ Jerzy;638;3.00;0.15;NX
K5;13;7;SMĘDER Michał Dariusz;320;1.50;0.08;NX
K5;13;8;ŁYSEK Józef;2097;9.88;0.50;NX
K5;13;9;WALASZEK Stanisław;385;1.81;0.09;NX
K5;13;10;KWINTA Arkadiusz Sebastian;383;1.80;0.09;NX
K5;13;11;SOLARZ Bogdan;793;3.73;0.19;NX
K5;13;12;DWORAK Stanisław;459;2.16;0.11;NX
K5;13;13;KASPRZAK Janina;551;2.59;0.13;NX
K5;13;14;HÜBNER Elżbieta;501;2.36;0.12;NX
K5;13;15;MIGAS Marzena Elżbieta;596;2.80;0.14;NX
K5;13;16;GODZIC Ireneusz;155;0.73;0.04;NX
K5;13;17;PISKORZ Bolesław;331;1.56;0.08;NX
K5;13;18;NIEGOWSKI Ireneusz Władysław;46;0.21;0.01;NX
K5;13;19;ZIÓŁKOWSKA Małgorzata;470;2.21;0.11;NX
K5;13;20;LICHOW Jan Marian;48;0.22;0.01;NX
K5;13;21;DUBAS Marek Kazimierz;443;2.08;0.11;NX
K5;13;22;DĄBROWSKI Grzegorz;447;2.10;0.11;NX
K5;13;23;BROCZKOWSKI Jarosław;115;0.54;0.03;NX
K5;13;24;CHWASTEK Tadeusz Kazimierz;421;1.98;0.10;NX
K5;13;25;POLAK Wiktoria;559;2.63;0.13;NX
K5;13;26;KASPRZYCKA Stanisława Marzena;441;2.07;0.10;NX
K5;14;1;WIŚNIOWSKA Elżbieta Aleksandra;4839;22.98;1.95;PX
K5;14;2;FYDA Mieczysław;2672;12.68;1.08;NX
K5;14;3;GRABOWSKI Tadeusz;2838;13.47;1.14;NX
K5;14;4;KUCHARSKI Jan;1742;8.27;0.70;NX
K5;14;5;SZUKAŁA Tadeusz;1155;5.48;0.47;NX
K5;14;6;MICHALIK Maria;2203;10.46;0.89;NX
K5;14;7;LISIECKI Jerzy;807;3.83;0.33;NX
K5;14;8;WÓJCIK Stanisław;904;4.29;0.36;NX
K5;14;9;ZAGÓRNA Iwona;492;2.33;0.20;NX
K5;14;10;WRÓŻEK Waldemar;194;0.92;0.08;NX
K5;14;11;MILEWSKA Magdalena;315;1.49;0.13;NX
K5;14;12;CHRONOWSKI Czesław;1488;7.06;0.60;NX
K5;14;13;KOSOŃ Maria;154;0.73;0.06;NX
K5;14;14;SKOŁUCKA Teresa Ewa;107;0.50;0.04;NX
K5;14;15;PĘCAK Sylwester;248;1.17;0.10;NX
K5;14;16;HEBDA Małgorzata Katarzyna;364;1.72;0.15;NX
K5;14;17;GOMULAK Artur;534;2.53;0.22;NX
K5;15;1;ZAWISZA Jerzy Tomasz;5338;24.25;2.40;PX
K5;15;2;SZAMBELAN Marek Stanisław;2358;10.71;1.06;NX
K5;15;3;LIGĘZA Grzegorz Marcin;1234;5.60;0.55;NX
K5;15;4;HOŁDA Michał;915;4.15;0.41;NX
K5;15;5;MAZUR Adam;1685;7.65;0.76;NX
K5;15;6;KLOCEK Kazimierz;556;2.52;0.25;NX
K5;15;7;GAJOCH Tomasz;380;1.72;0.17;NX
K5;15;8;PIOTROWSKI Bronisław Józef;790;3.58;0.35;NX
K5;15;9;TWORZYDŁO Iwona;1363;6.19;0.61;NX
K5;15;10;PELCZAR Małgorzata;702;3.19;0.32;NX
K5;15;11;KOSOŃ Eryk;321;1.45;0.14;NX
K5;15;12;MACH Edward Józef;404;1.83;0.18;NX
K5;15;13;WEŁNA Paweł Piotr;290;1.31;0.13;NX
K5;15;14;CIESIELCZYK Marek;3922;17.82;1.76;NX
K5;15;15;ABLEWICZ Stanisław;1066;4.84;0.48;NX
K5;15;16;KURELA Jerzy Bogdan;105;0.47;0.05;NX
K5;15;17;URBAŃSKI Eugeniusz Roman;275;1.24;0.12;NX
K5;15;18;PRICH Krzysztof Stanisław;302;1.37;0.14;NX
K5;16;1;SZYMAŃCZYK Lech;7393;18.00;3.21;PX
K5;16;2;WIŚNIEWSKI Zenon Sylwester;5764;14.03;2.50;PX
K5;16;3;RADOMSKA Izabela;3975;9.68;1.73;NX
K5;16;4;OBRĘBSKA Aleksandra Helena;3146;7.66;1.37;NX
K5;16;5;TOMASZEWSKI Sławomir Antoni;3656;8.90;1.59;NX
K5;16;6;CZARNECKI Krzysztof;3558;8.66;1.55;NX
K5;16;7;KOGOWSKI Wiesław Zdzisław;882;2.14;0.38;NX
K5;16;8;ZALEWSKI Tadeusz Jan;1715;4.17;0.75;NX
K5;16;9;MOSSAKOWSKI Sławomir Zygmunt;1436;3.49;0.62;NX
K5;16;10;GILEWSKI Artur Jacek;1126;2.74;0.49;NX
K5;16;11;GERYK Andrzej Józef;1803;4.39;0.78;NX
K5;16;12;BOMBAŁA Zygmunt;1104;2.68;0.48;NX
K5;16;13;ŚWIDERSKI Maciej Wiesław;462;1.12;0.20;NX
K5;16;14;CZERWIŃSKI Janusz;555;1.35;0.24;NX
K5;16;15;JANKOWSKA Marzena;1663;4.05;0.72;NX
K5;16;16;KRAWCZYŃSKI Paweł;361;0.87;0.16;NX
K5;16;17;OGIŃSKI Mariusz;226;0.55;0.10;NX
K5;16;18;FLORCZAK Waldemar;663;1.61;0.29;NX
K5;16;19;SOCHA-KALINOWSKA Karolina;1568;3.81;0.68;NX
K5;17;1;ŁYŻWIŃSKA Wanda Elżbieta;7842;17.95;3.49;PX
K5;17;2;DZIK Antoni;5729;13.11;2.55;NX
K5;17;3;KOCEWIAK Bożena;1957;4.48;0.87;NX
K5;17;4;PADUCH Marzena Hanna;7838;17.94;3.48;PX
K5;17;5;NOWAK Wiesław;2589;5.92;1.15;NX
K5;17;6;SOCHA Bogdan;2861;6.55;1.27;NX
K5;17;7;STARZYK Dariusz;1342;3.07;0.60;NX
K5;17;8;ROGALSKI Piotr Krzysztof;786;1.79;0.35;NX
K5;17;9;LASOTA Marian;1595;3.65;0.71;NX
K5;17;10;KUMOREK Leszek Władysław;2056;4.70;0.91;NX
K5;17;11;MATYSIAK Waldemar;1945;4.45;0.86;NX
K5;17;12;ORZECHOWSKI Marian;820;1.87;0.36;NX
K5;17;13;FERUŚ Marcin;541;1.23;0.24;NX
K5;17;14;MOSTEK Janusz;421;0.96;0.19;NX
K5;17;15;MOLENDA Tadeusz;1720;3.93;0.76;NX
K5;17;16;DŁUŻEWSKI Mariusz;507;1.16;0.23;NX
K5;17;17;BERNACKI Marian Władysław;779;1.78;0.35;NX
K5;17;18;MILEWSKA Anna Stanisława;2348;5.37;1.04;NX
K5;18;1;FILIPEK Krzysztof;16515;29.58;5.56;PX
K5;18;2;SKWIERCZYŃSKI Grzegorz Krzysztof;6963;12.47;2.35;PX
K5;18;3;CHMIELAK Waldemar Stanisław;4190;7.50;1.41;NX
K5;18;4;MICHALSKI Artur Antoni;1618;2.89;0.54;NX
K5;18;5;RZEWUSKI Zbigniew Jan;4909;8.79;1.65;NX
K5;18;6;BARTOSIEWICZ Ewa;3053;5.46;1.03;NX
K5;18;7;BORZYM Edward;1970;3.52;0.66;NX
K5;18;8;GODLEWSKA Małgorzata;2509;4.49;0.85;NX
K5;18;9;TYSZKIEWICZ Zbigniew;874;1.56;0.29;NX
K5;18;10;CHMIELEWSKI Andrzej Leszek;2326;4.16;0.78;NX
K5;18;11;KONOPKA Jadwiga;2178;3.90;0.73;NX
K5;18;12;WŁODARCZYK Artur;760;1.36;0.26;NX
K5;18;13;TALKOWSKI Władysław;1149;2.05;0.39;NX
K5;18;14;JASIŃSKI Adam;1581;2.83;0.53;NX
K5;18;15;ZALEWSKA Izabela;939;1.68;0.32;NX
K5;18;16;ŻOCHOWSKI Zdzisław;768;1.37;0.26;NX
K5;18;17;KORDOWSKA Ewa;503;0.90;0.17;NX
K5;18;18;SIWEK Hanna;344;0.61;0.12;NX
K5;18;19;BOJKOWSKI Zenon;300;0.53;0.10;NX
K5;18;20;ŁUBIAN Kazimierz;558;0.99;0.19;NX
K5;18;21;ZAWADZKI Edward;488;0.87;0.16;NX
K5;18;22;GRAM Sławomir Andrzej;191;0.34;0.06;NX
K5;18;23;ZDANOWSKA Beata;400;0.71;0.13;NX
K5;18;24;MIELEWSKI Jerzy Bogdan;732;1.31;0.25;NX
K5;19;1;GÓRNIAK Krystyna Stanisława;6673;37.54;0.88;NX
K5;19;2;PROKOPCZYK Krzysztof;1271;7.15;0.17;NX
K5;19;3;KOSICIŃSKI Marek Zbigniew;561;3.15;0.07;NX
K5;19;4;MARKOWSKI Waldemar Kazimierz;741;4.16;0.10;NX
K5;19;5;CHOMĘTOWSKA Emilia;420;2.36;0.06;NX
K5;19;6;KACZMAREK Zuzanna;395;2.22;0.05;NX
K5;19;7;ŻELESZKIEWICZ Ewa Maria;290;1.63;0.04;NX
K5;19;8;KORZEŃ Maria;240;1.35;0.03;NX
K5;19;9;KOWALSKA Bożenna Zofia;383;2.15;0.05;NX
K5;19;10;JANASZEK Andrzej Jacek;217;1.22;0.03;NX
K5;19;11;SOCHOCKI Jan;272;1.53;0.04;NX
