okreg;komitet;numer;kandydat;url;glosy;procent;wynik
10;6;2;Szulc Robert Ryszard;/cpr/sjm-10/pl/3ae2f58f-10e2-43eb-8eeb-9a14c01687e6.html;157;0,06;NX
10;6;3;Jędryszczak Teresa Janina;/cpr/sjm-10/pl/4e817568-4487-4e4d-8459-1ab84b856243.html;136;0,05;NX
10;6;4;Grabska Julia;/cpr/sjm-10/pl/191bfc7d-2d90-4fdb-a3da-774ea6a219de.html;166;0,06;NX
10;6;5;Pacholak Maciej Piotr;/cpr/sjm-10/pl/df8bec1e-fcb4-483b-a222-4db90235d797.html;94;0,04;NX
10;6;6;Krzysztofik Renata Ewa;/cpr/sjm-10/pl/967b7d85-ff99-47b4-9e35-6abdfa8a07d2.html;64;0,02;NX
10;6;7;Warski Adam;/cpr/sjm-10/pl/1ce458f6-3f4f-417e-9004-d6e8c5ef9ecf.html;33;0,01;NX
10;6;8;Wirtek Sylwia;/cpr/sjm-10/pl/767e0f01-8e77-4288-b4c1-79dd13e7ed8c.html;63;0,02;NX
10;6;9;Barasiński Jan;/cpr/sjm-10/pl/75c893a4-e302-4892-a7a9-97da5eb23b06.html;78;0,03;NX
10;6;10;Gruszczyński Dariusz Józef;/cpr/sjm-10/pl/fd69bcd3-f949-4595-a821-1517652f08c6.html;57;0,02;NX
10;6;11;Szczypińska Bogusława Jadwiga;/cpr/sjm-10/pl/424ba814-8ed9-4df6-90d4-916a264ee9e7.html;50;0,02;NX
10;6;12;Wolankiewicz Paweł Maciej;/cpr/sjm-10/pl/2d7fe9d0-3320-4b15-920b-d389541c9b9c.html;66;0,03;NX
10;6;13;Chmielewski Wiesław;/cpr/sjm-10/pl/e9bc7341-e56a-4d79-b057-259fb1e732a7.html;47;0,02;NX
10;6;14;Jędrasik Barbara Maria;/cpr/sjm-10/pl/61ee565b-2c33-4599-b25f-36f747b61ed6.html;49;0,02;NX
10;6;15;Kulpa Aldona Julita;/cpr/sjm-10/pl/7cf3ebfe-d068-4f48-983d-a38f75950400.html;49;0,02;NX
10;6;16;Iciek Zofia Grażyna;/cpr/sjm-10/pl/2306774b-0a34-4132-b833-a06fb4a7b780.html;25;0,01;NX
10;6;17;Warska Renata Katarzyna;/cpr/sjm-10/pl/7c732c8e-58e2-44ff-b4e8-3e8df9f5735e.html;47;0,02;NX
10;6;18;Telus Daniel;/cpr/sjm-10/pl/055ca526-cfa9-4118-9fe1-f778dafee29d.html;165;0,06;NX
10;7;1;Radziszewska Elżbieta;/cpr/sjm-10/pl/74db7847-cd2d-44e0-8286-66c40fdae8e1.html;19269;7,38;PX
10;7;2;Zacharewicz Jacek Paweł;/cpr/sjm-10/pl/8a988e3e-ee7f-4351-942d-3e4fd9e11e02.html;8857;3,39;NX
10;7;3;Rutkowska Dorota;/cpr/sjm-10/pl/8baf811e-39dd-4702-a016-0ce25ec20b1f.html;10268;3,93;PX
10;7;4;Czapla Andrzej Wiesław;/cpr/sjm-10/pl/6f7cd384-ad8b-443e-9a6b-56703e66fb5f.html;6391;2,45;NX
10;7;5;Krawczyk Cezary Jarosław;/cpr/sjm-10/pl/3af02c31-ef82-4793-bb3e-d83c3f9516ff.html;4410;1,69;NX
10;7;6;Kudaj Elżbieta Maria;/cpr/sjm-10/pl/ebaeafa0-9a85-40e5-8d7b-60351e0d7b91.html;4271;1,64;NX
