TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2011;;2012;;2013;;2014;;2015;;
Netherlands;;6,937;r;6,879;r;6,713;;6,964;;6,995;;
New Zealand;;844;;912;;900;e;859;r;793;;
Norway;;610;r;700;r;605;;600;;590;;
Omane;;200;;300;;500;;1,500;;2,000;;
Pakistan;;1,592;r;1,631;r;1,845;r;2,423;r;2,892;;
Paraguaye;;30;;44;7;45;;47;;48;;
Peru;;877;;981;;1,090;;1,078;;1,082;;
Philippines;;1,200;;1,260;;1,308;;1,196;;968;e;
Poland;;8,779;r;8,366;r;7,950;r;8,558;;9,198;;
Portugal;;1,942;;1,960;;2,050;;2,070;;2,030;e;
Qatar;;2,038;r;2,145;r;2,236;;3,019;r;2,593;;
Romania;;3,828;r;3,292;r;2,985;r;3,158;;3,352;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2011;;2012;;2013;;2014;;2015;;
Russia;;68,852;r;70,209;r;69,008;r;71,461;;70,898;;
Saudi Arabia;;5,275;r;5,203;r;5,471;r;6,291;;5,229;;
Serbia;;1,324;;346;8;396;;583;;955;;
Singapore;;752;r;688;r;434;r;540;r;501;e;
Slovakia;;4,236;;4,403;r;4,511;r;4,705;;4,562;;
Slovenia;;648;r;632;r;618;r;615;;604;;
South Africa;;7,546;;6,938;;7,162;r;6,412;r;6,417;;
Spain;;15,504;r;16,639;r;14,252;r;14,249;;14,845;;
Sweden;;4,867;r;4,326;;4,404;;4,539;;4,374;;
Switzerland;;1,400;;1,450;r;1,530;r;1,475;;1,475;e;
Syria;;70;r;10;;10;e;5;;5;e;
Taiwan;;20,178;r;20,664;r;22,282;r;23,121;;21,392;;
Thailand;;4,238;;3,328;r;3,579;;4,095;;3,718;;
Trinidad and Tobago;;603;r;628;r;616;;487;r;591;;
Tunisiae;;150;r;150;r;150;r;150;r;50;;
Turkey;;34,107;r;35,885;;34,654;r;34,035;;31,512;;
Ugandae;;30;r;30;r;30;r;30;r;30;;
Ukraine;;35,332;;32,975;r;32,771;r;27,170;;22,968;;
United Arab Emirates;;2,000;e;2,408;r;2,878;;2,390;;3,006;;
United Kingdom;;9,478;;9,579;r;11,858;r;12,120;;10,907;;
United States;;86,400;;88,700;r;86,900;;88,200;r;78,800;;
Uruguay;;81;;78;;91;r;94;;97;;
Uzbekistan;;733;;736;;746;r;723;r;643;;
Venezuela;;2,980;r;2,359;r;2,139;r;1,485;;1,345;;
Vietnam;;4,900;;5,298;r;5,474;r;5,847;;5,647;;
Total;;1,540,000;r;1,570,000;r;1,650,000;r;1,670,000;r;1,620,000;;
eEstimated. rRevised. NA Not available.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as ;;;;;;;;;;;;
“liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Includes data available through June 7, 2017.;;;;;;;;;;;;
4In addition to the countries listed, Burma, Ethiopia, Hong Kong, Mauritania, Mozambique, Singapore, Sri Lanka, and;;;;;;;;;;;;
Zimbabwe are known to have steelmaking plants, but available information was inadequate to make ;;;;;;;;;;;;
reliable estimates of output.;;;;;;;;;;;;
5Does not include castings.;;;;;;;;;;;;
6Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
7Reported figure.;;;;;;;;;;;;
8Smederevo plant closed July 31, 2012.;;;;;;;;;;;;
;;;;;;;;;;;;
